3.244942855835e+01,2.930195426941e+01,2.648587036133e+01,4.540687561035e+02,3.184929504395e+02,2.624716491699e+02,5.142477798462e+01,1.002900390625e+03,1.914905442391e-04,5.119966954226e-05,2.233572483063e+00,3.619582653046e+00,7.599683105946e-02,2.740365982056e+00,6.892489013672e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3.638512039185e+01,3.331794738770e+01,3.116948318481e+01,4.153273010254e+02,3.648591003418e+02,4.308897705078e+02,5.907930374146e+01,1.125684936523e+03,-1.793776464183e-04,7.002266647760e-05,4.091519355774e+00,2.190094566345e+01,4.971397221088e-01,2.690718173981e+00,6.698425903320e+02,3.851871937513e-03,3.837025025859e-03
1.722792510986e+02,1.971873931885e+02,2.447964477539e+02,4.247419738770e+02,3.960270385742e+02,4.315686340332e+02,3.587279663086e+02,1.062219238281e+03,5.986099713482e-04,3.607819962781e-06,4.565409660339e+00,4.176346206665e+01,-5.195819735527e-01,2.790984630585e+00,7.062899169922e+02,0.000000000000e+00,0.000000000000e+00
1.662079925537e+02,1.881759643555e+02,2.405556945801e+02,5.756166992188e+02,3.782133483887e+02,2.382279815674e+02,3.482335205078e+02,8.300940551758e+02,2.728651816142e-05,8.269818863482e-06,3.340765476227e+00,1.964871978760e+01,-1.104495227337e-01,2.125828981400e+00,5.362337646484e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.972795715332e+02,2.110681457520e+02,2.445642547607e+02,1.264183959961e+03,8.176342163086e+02,2.186545562744e+02,3.794100036621e+02,1.614600830078e+03,5.284452345222e-04,7.486887170671e-06,4.018610477448e+00,2.437425613403e+01,-2.999654114246e-01,2.326657056808e+00,5.898674926758e+02,4.578087478876e-03,4.557115957141e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
