2.474489440918e+02,2.510023651123e+02,2.498749084473e+02,3.402093505859e+02,1.957232666016e+02,1.335455627441e+02,4.321837463379e+02,5.835360107422e+02,3.033824032173e-05,1.860640281848e-06,3.413249969482e+00,4.988070297241e+01,-4.915274977684e-01,1.058400273323e+00,2.722655334473e+02,0.000000000000e+00,0.000000000000e+00
2.490456085205e+02,2.517023925781e+02,2.500790100098e+02,2.112376708984e+02,1.455295410156e+02,1.140875091553e+02,4.335600891113e+02,4.336856994629e+02,1.000722622848e-04,4.122248071781e-07,3.294375896454e+00,4.592064666748e+01,-4.862213432789e-01,6.796455979347e-01,1.696927947998e+02,9.876543655992e-03,9.779038839042e-03
2.486126556396e+02,2.510390625000e+02,2.495989532471e+02,2.725394287109e+02,2.275302886963e+02,1.706298522949e+02,4.326470031738e+02,6.345728149414e+02,1.105330011342e-04,3.161324855228e-07,2.869553327560e+00,3.335057830811e+01,-4.045887887478e-01,3.640226721764e-01,9.441898345947e+01,0.000000000000e+00,0.000000000000e+00
2.485134429932e+02,2.502829589844e+02,2.487133026123e+02,2.256612396240e+02,2.618627014160e+02,2.292081451416e+02,4.316546630859e+02,6.908843994141e+02,3.149528856738e-05,6.688742359984e-08,1.665437698364e+00,1.620198440552e+01,-1.888758391142e-01,5.175569057465e-01,1.311974487305e+02,0.000000000000e+00,0.000000000000e+00
2.462528533936e+02,2.476471862793e+02,2.472652740479e+02,3.423004455566e+02,3.998886413574e+02,2.876497497559e+02,4.280518188477e+02,9.499117431641e+02,-4.156564245932e-04,1.581640754011e-05,2.353273868561e+00,1.996688079834e+01,-2.172268480062e-01,1.406666159630e+00,3.569909667969e+02,0.000000000000e+00,0.000000000000e+00
1.040078582764e+02,9.652329254150e+01,8.554184722900e+01,5.674671630859e+02,5.270650024414e+02,6.375415039062e+02,1.662509460449e+02,1.545594970703e+03,6.680950755253e-04,3.992454003310e-05,3.583746433258e+00,1.298666477203e+01,1.323283463717e-01,2.548369646072e+00,6.416753540039e+02,2.916632918641e-03,3.232180606574e-03
6.502941894531e+01,6.482166290283e+01,6.159627532959e+01,3.733408508301e+02,3.958961486816e+02,4.204153137207e+02,1.110937576294e+02,1.072174560547e+03,-4.490285355132e-04,2.990152461280e-05,4.175116062164e+00,2.585337257385e+01,3.971496820450e-01,2.615597963333e+00,6.605385131836e+02,1.094640791416e-02,1.082655694336e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3.611524581909e+01,3.636465835571e+01,3.486778640747e+01,1.860068969727e+02,2.289833679199e+02,2.536308288574e+02,6.217056655884e+01,6.453832397461e+02,-1.063382733264e-04,1.620299713068e-06,3.638629436493e+00,3.189298057556e+01,4.602101445198e-01,2.133209943771e+00,5.393797607422e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
