1.564870452881e+02,1.758162841797e+02,2.213755035400e+02,1.030143920898e+03,8.584385375977e+02,9.754182128906e+02,3.237974548340e+02,2.425061035156e+03,1.484789885581e-03,1.881711796159e-05,7.062172889709e+00,4.084201431274e+01,-6.301227807999e-01,2.542156219482e+00,6.429540405273e+02,9.982721880078e-03,9.883084334433e-03
1.745508117676e+02,1.949420013428e+02,2.417817687988e+02,4.957172851562e+02,4.669141540527e+02,6.237692871094e+02,3.566657714844e+02,1.309894165039e+03,4.472888831515e-04,2.870425123547e-05,4.456895828247e+00,2.826766967773e+01,-2.730514109135e-01,2.442497730255e+00,5.992329101562e+02,0.000000000000e+00,0.000000000000e+00
1.699466552734e+02,1.868221893311e+02,2.329208374023e+02,3.834223022461e+02,3.580004577637e+02,5.128059082031e+02,3.438027343750e+02,1.092114501953e+03,-5.568155320361e-04,1.887664438982e-05,4.230768203735e+00,1.299887657166e+01,4.982953518629e-02,2.134657144547e+00,5.253952026367e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.276491394043e+02,2.339916229248e+02,2.501265411377e+02,5.100808410645e+02,3.512886962891e+02,2.514724540710e+01,4.116219787598e+02,5.907537841797e+02,1.680870656855e-03,1.441406220692e-05,3.866227388382e+00,4.048562526703e+00,-4.353131055832e-01,1.938239574432e+00,4.967441406250e+02,0.000000000000e+00,0.000000000000e+00
1.684806213379e+02,1.822093048096e+02,2.286899261475e+02,1.750015411377e+02,1.721500091553e+02,2.524231262207e+02,3.375956420898e+02,5.138887939453e+02,-2.299782587215e-03,6.594327260245e-06,4.403765678406e+00,1.153907299042e+00,5.834275484085e-01,1.977023005486e+00,4.999923706055e+02,0.000000000000e+00,0.000000000000e+00
1.629168090820e+02,1.791630706787e+02,2.239966735840e+02,4.567979736328e+02,3.336080017090e+02,4.357651367188e+02,3.301690673828e+02,1.031096801758e+03,1.889218983706e-04,6.996927822911e-06,4.135032653809e+00,1.897916030884e+01,-1.902803480625e-01,2.332581520081e+00,5.871032104492e+02,6.386783439666e-03,6.346023641527e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
