2.361970214844e+02,2.469681396484e+02,2.507006225586e+02,5.304484252930e+02,1.975752105713e+02,4.533583831787e+01,4.241217041016e+02,5.034213867188e+02,-6.249108264456e-05,8.637162522973e-07,2.595071315765e+00,1.682380104065e+01,-1.960616409779e-01,1.658224821091e+00,4.207166748047e+02,2.326122252271e-03,2.320704283193e-03
2.472223052979e+02,2.513262023926e+02,2.493731689453e+02,2.710783081055e+02,2.118370666504e+02,2.269873352051e+02,4.318385925293e+02,6.660819091797e+02,1.182039850391e-04,1.299144514633e-06,2.847042560577e+00,3.966515731812e+01,-3.777276575565e-01,1.165684342384e+00,2.883374328613e+02,0.000000000000e+00,0.000000000000e+00
2.488385314941e+02,2.524753723145e+02,2.506836395264e+02,1.836880493164e+02,1.192613830566e+02,1.081154708862e+02,4.341747436523e+02,3.751083374023e+02,9.667761332821e-05,3.974575975008e-07,2.442738771439e+00,3.960022735596e+01,-3.822028338909e-01,9.780894517899e-01,2.527702026367e+02,0.000000000000e+00,0.000000000000e+00
2.499874420166e+02,2.533142852783e+02,2.514375305176e+02,6.847190856934e+01,4.359667968750e+01,3.529398727417e+01,4.357378845215e+02,1.268621978760e+02,2.161373777199e-05,6.850103062561e-08,2.107228994370e+00,3.521331024170e+01,-3.397216498852e-01,1.554125189781e+00,3.949631347656e+02,0.000000000000e+00,0.000000000000e+00
2.488508605957e+02,2.522521820068e+02,2.501960449219e+02,1.644843444824e+02,1.211843261719e+02,1.316352081299e+02,4.338032226562e+02,3.554176635742e+02,6.664944976364e-06,1.945793144387e-07,2.411308526993e+00,3.334028244019e+01,-3.317213356495e-01,5.376371741295e-01,1.322185821533e+02,0.000000000000e+00,0.000000000000e+00
2.460182495117e+02,2.500274353027e+02,2.490444641113e+02,4.211233520508e+02,3.196206054688e+02,2.359193420410e+02,4.302716369629e+02,8.756005859375e+02,-1.311024698225e-05,1.055842517417e-06,3.508394956589e+00,4.963161087036e+01,-4.708811044693e-01,6.781424880028e-01,1.780707550049e+02,2.812843024731e-02,2.733723632991e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
