2.459660797119e+02,2.523081207275e+02,2.508769073486e+02,2.331333312988e+02,8.174748229980e+01,5.154277038574e+01,4.326015930176e+02,2.836509094238e+02,1.603939927008e-05,3.862281872102e-08,2.309513092041e+00,2.873823738098e+01,-3.095811009407e-01,1.508686542511e+00,3.816760559082e+02,0.000000000000e+00,0.000000000000e+00
2.474033508301e+02,2.513853149414e+02,2.496267089844e+02,3.579237670898e+02,2.564417114258e+02,2.266003112793e+02,4.321210632324e+02,7.939989624023e+02,7.220185216283e-05,1.703671301811e-07,2.950313091278e+00,4.889737701416e+01,-4.252037703991e-01,3.184117078781e-01,8.131214904785e+01,0.000000000000e+00,0.000000000000e+00
2.484832916260e+02,2.522663574219e+02,2.506532135010e+02,2.232182312012e+02,1.473910827637e+02,9.556566619873e+01,4.338462219238e+02,4.181670227051e+02,4.110359805054e-05,1.200093890930e-07,2.916802406311e+00,4.702503204346e+01,-4.391042888165e-01,1.991906404495e+00,5.040947570801e+02,0.000000000000e+00,0.000000000000e+00
2.481850585938e+02,2.520080261230e+02,2.504616851807e+02,2.247271118164e+02,1.379506378174e+02,9.142185974121e+01,4.334303283691e+02,3.946062622070e+02,2.629581831570e-05,3.784729756262e-07,3.044779539108e+00,4.424206542969e+01,-4.539005756378e-01,7.423191666603e-01,1.883615875244e+02,0.000000000000e+00,0.000000000000e+00
2.440719299316e+02,2.488187103271e+02,2.478387145996e+02,6.181446533203e+02,4.118829040527e+02,2.977729492188e+02,4.277859191895e+02,1.209376098633e+03,1.484238164267e-04,2.891408712458e-07,5.577715873718e+00,7.489811706543e+01,-7.894250154495e-01,7.994217872620e-01,2.023683319092e+02,2.220183424652e-02,2.170892246068e-02
3.652893447876e+01,3.994580459595e+01,3.778520965576e+01,4.802192077637e+02,5.696145019531e+02,4.679087829590e+02,6.646928405762e+01,1.458878051758e+03,1.648780198593e-05,2.521016995161e-06,3.212350606918e+00,2.460464859009e+01,2.754160463810e-01,2.035830736160e+00,5.183231201172e+02,4.983491962776e-04,4.981312085874e-04
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4.932124710083e+01,5.280886840820e+01,5.049973678589e+01,4.987494812012e+02,5.136884765625e+02,6.045013427734e+02,8.894131469727e+01,1.478612304688e+03,-8.996904216474e-05,4.789859758603e-06,5.785478591919e+00,3.753227233887e+01,5.900334119797e-01,2.250707626343e+00,5.714688110352e+02,2.019315212965e-02,1.978538557887e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4.309900283813e+01,4.742179489136e+01,4.227990341187e+01,3.764259643555e+02,4.213669738770e+02,4.435614013672e+02,7.735866546631e+01,1.151078735352e+03,-8.399565122090e-04,5.794152912131e-06,6.569902896881e+00,4.797930526733e+01,9.090785384178e-01,2.084804534912e+00,5.270131225586e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.636781311035e+01,2.745909690857e+01,2.584189605713e+01,2.256696472168e+02,1.895178833008e+02,1.787001190186e+02,4.620227813721e+01,5.762635498047e+02,-6.535919965245e-05,1.584651386111e-06,1.904153108597e+00,7.394011974335e+00,1.765342205763e-01,2.433331727982e+00,6.106897583008e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
