1.515942840576e+02,1.682670288086e+02,2.115584106445e+02,5.509895629883e+02,4.099888916016e+02,4.730447692871e+02,3.102739257812e+02,1.202687255859e+03,-1.155820791610e-04,1.046427951223e-05,3.456885337830e+00,7.554217815399e+00,1.320781111717e-01,2.267305374146e+00,5.711588745117e+02,8.602890738985e-05,8.601545414422e-05
1.944465332031e+02,2.081811828613e+02,2.388352050781e+02,1.019740905762e+03,8.186350097656e+02,5.906121215820e+02,3.723186340332e+02,2.003019897461e+03,7.430457044393e-04,8.350712960237e-06,4.600011825562e+00,1.602547264099e+01,-3.402379155159e-01,2.346355438232e+00,5.846456909180e+02,9.223263710737e-03,9.138162247837e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.953859405518e+02,2.148062896729e+02,2.386115264893e+02,8.667380981445e+02,8.014334106445e+02,6.597477416992e+02,3.763560485840e+02,1.931459350586e+03,2.413677611912e-05,3.164489680785e-05,5.007100105286e+00,1.892997741699e+01,-2.182491868734e-01,2.335471868515e+00,5.900456542969e+02,2.263257503510e-01,1.953043341637e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.270427093506e+02,2.381766967773e+02,2.432422637939e+02,7.726187744141e+02,6.524923706055e+02,5.986279296875e+02,4.095009155273e+02,1.783816162109e+03,1.508581044618e-04,1.499438440078e-05,3.684980154037e+00,1.922410774231e+01,-2.939020097256e-01,2.256784439087e+00,5.709996337891e+02,1.367301791906e-01,2.167500853539e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.320573577881e+02,2.396311798096e+02,2.423979187012e+02,1.055965087891e+03,8.332055664062e+02,6.529140014648e+02,4.126789855957e+02,2.258441406250e+03,1.240873825736e-03,3.922824180336e-05,6.981571197510e+00,5.135821151733e+01,-9.841093420982e-01,2.474706411362e+00,6.180645751953e+02,2.635146379471e-01,3.719556629658e-01
