2.474583740234e+02,2.502715454102e+02,2.400057220459e+02,2.732292480469e+02,2.017566680908e+02,4.828421936035e+02,4.262381896973e+02,7.816056518555e+02,1.146743161371e-04,1.012953362078e-05,2.331648349762e+00,1.043505859375e+01,-2.443209141493e-01,1.792711019516e+00,4.554320983887e+02,3.743966817856e-01,2.536793649197e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.290803680420e+02,1.519379272461e+02,1.133753967285e+02,9.474688720703e+02,1.083972534180e+03,7.302263793945e+02,2.299791564941e+02,2.472005371094e+03,3.293094341643e-04,4.604661080521e-05,6.400485038757e+00,1.234730148315e+01,-4.072551615536e-03,3.033474445343e+00,7.401403808594e+02,8.595936894417e-01,1.306247711182e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6.617792510986e+01,7.571428680420e+01,6.378961181641e+01,8.551119384766e+02,1.207876220703e+03,5.283948974609e+02,1.197053909302e+02,2.443276123047e+03,-3.405855735764e-03,3.770041803364e-05,7.998067855835e+00,1.402474403381e+01,1.183800339699e+00,3.562252283096e+00,9.167350463867e+02,9.441558718681e-01,5.272559076548e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.142966384888e+02,1.357294158936e+02,1.004672241211e+02,6.695125732422e+02,6.649628906250e+02,6.050345458984e+02,2.046070098877e+02,1.655381347656e+03,-1.015738351271e-03,3.178400947945e-05,4.418948173523e+00,5.838939189911e+00,4.720518887043e-01,4.011665344238e+00,9.690657348633e+02,1.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.034295043945e+02,1.164163970947e+02,9.993934631348e+01,2.764916748047e+03,2.857615234375e+03,2.510379150391e+03,1.859175567627e+02,7.805932617188e+03,-1.358907669783e-03,3.667152850539e-05,6.353330135345e+00,9.026586532593e+00,5.194593071938e-01,3.171123981476e+00,8.412565307617e+02,6.836065649986e-01,2.162885516882e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.573166046143e+02,1.848841705322e+02,1.385559844971e+02,1.528131713867e+03,1.609469848633e+03,1.092841308594e+03,2.801520080566e+02,3.873810058594e+03,-1.793221803382e-03,1.819737008191e-05,8.244075775146e+00,7.250107288361e+00,4.995718002319e-01,2.380274772644e+00,5.042049560547e+02,4.208494126797e-01,2.437352538109e-01
2.454487152100e+02,2.495487823486e+02,2.403851623535e+02,3.246283874512e+02,1.934278869629e+02,4.210398559570e+02,4.248603820801e+02,7.518303222656e+02,2.555771498010e-04,1.768641413946e-05,2.804423332214e+00,1.576719284058e+01,-3.075899779797e-01,1.059338808060e+00,2.595469665527e+02,3.965473920107e-02,3.808224201202e-02
