2.347614746094e+02,2.454035797119e+02,2.476497039795e+02,6.899653320312e+02,3.868582458496e+02,3.019829406738e+02,4.205817565918e+02,1.133426757812e+03,8.599240391050e-05,6.095994194766e-06,3.796948432922e+00,3.297027969360e+01,-3.383385539055e-01,1.992530226707e+00,4.974150390625e+02,7.596310228109e-03,1.231343951076e-02
2.485944366455e+02,2.524295654297e+02,2.506229400635e+02,1.780509185791e+02,1.019007873535e+02,9.239243316650e+01,4.339744262695e+02,3.351231689453e+02,2.425965940347e-04,2.505042175471e-06,2.883168697357e+00,4.466024017334e+01,-4.453765749931e-01,1.054891228676e+00,2.643156433105e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.490973968506e+02,2.526293029785e+02,2.507999572754e+02,1.795177154541e+02,1.328296508789e+02,1.193870468140e+02,4.344693603516e+02,4.033106384277e+02,4.182323027635e-05,6.389161057996e-07,2.405140876770e+00,4.050290298462e+01,-3.728586137295e-01,6.720076799393e-01,1.762555999756e+02,2.616220619529e-03,2.609379356727e-03
2.484325561523e+02,2.519591674805e+02,2.502744903564e+02,3.274425964355e+02,2.693223876953e+02,2.180939331055e+02,4.334077148438e+02,7.771536254883e+02,6.183817458805e-05,1.197200987235e-07,2.401250362396e+00,3.679109573364e+01,-3.521215915680e-01,3.673797845840e-01,9.475744628906e+01,0.000000000000e+00,0.000000000000e+00
2.438502197266e+02,2.478263092041e+02,2.470797882080e+02,6.402921142578e+02,5.273393554688e+02,3.746248779297e+02,4.267155151367e+02,1.356347900391e+03,-3.002467201441e-05,1.938229843290e-06,4.277131080627e+00,5.167895126343e+01,-5.046154856682e-01,7.735684204102e+01,1.374004101562e+04,1.128425542265e-02,1.115694735199e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
