2.166791076660e+02,2.362766571045e+02,2.490466918945e+02,6.196219482422e+02,3.978460388184e+02,1.036221160889e+02,4.063230895996e+02,8.001124877930e+02,3.177317848895e-04,3.709771362992e-06,4.209804534912e+00,2.888101005554e+01,-4.129385352135e-01,2.020986557007e+00,5.083575439453e+02,2.778325043619e-02,2.701127901673e-02
2.339553375244e+02,2.459659423828e+02,2.449918823242e+02,1.063021240234e+03,9.579180297852e+02,9.844668579102e+02,4.188522644043e+02,2.811432373047e+03,4.312267119531e-04,4.601630280376e-06,6.225669384003e+00,7.015908813477e+01,-7.497213482857e-01,1.857016921043e+00,4.951071472168e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.418147125244e+02,2.470039520264e+02,2.464398956299e+02,1.001148803711e+03,8.684042968750e+02,7.339986572266e+02,4.246234130859e+02,2.487059570312e+03,2.601048036013e-04,5.672820407199e-06,4.690603733063e+00,6.934365844727e+01,-5.593067407608e-01,1.658109068871e+00,4.266950988770e+02,0.000000000000e+00,0.000000000000e+00
2.480073852539e+02,2.517951812744e+02,2.502821655273e+02,3.381797485352e+02,2.529733886719e+02,1.958337249756e+02,4.330805664062e+02,7.379507446289e+02,-2.404066208328e-06,3.455198793745e-07,2.108557224274e+00,3.650421905518e+01,-2.781091630459e-01,4.802890717983e-01,1.225149307251e+02,0.000000000000e+00,0.000000000000e+00
2.494449462891e+02,2.528140716553e+02,2.509324798584e+02,1.401894073486e+02,9.969667053223e+01,8.463274383545e+01,4.348444213867e+02,2.993584594727e+02,3.063514668611e-05,2.300483856743e-07,1.797746181488e+00,3.050151443481e+01,-2.774893641472e-01,3.436429798603e-01,8.922436523438e+01,3.051804378629e-04,3.050797968172e-04
2.481656494141e+02,2.515973968506e+02,2.499295959473e+02,2.864643859863e+02,2.333639221191e+02,1.989052276611e+02,4.328469848633e+02,6.770322875977e+02,4.570063174469e-05,1.348699356640e-07,2.336240053177e+00,4.046507263184e+01,-3.291978538036e-01,3.701583147049e-01,9.285245513916e+01,3.297094954178e-03,3.286225488409e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
