3.134249305725e+01,3.492182540894e+01,2.996697616577e+01,1.211865615845e+02,1.500180511475e+02,1.936282348633e+02,5.609656524658e+01,4.180768432617e+02,-5.528893670999e-04,3.904960522050e-06,3.596623897552e+00,2.286062049866e+01,4.560984075069e-01,2.113890647888e+00,5.324408569336e+02,0.000000000000e+00,0.000000000000e+00
1.413457946777e+02,1.683009796143e+02,2.245909118652e+02,3.116228332520e+02,3.031806030273e+02,5.219901123047e+02,3.143901977539e+02,1.034891845703e+03,6.105846841820e-04,4.583704594552e-06,4.136532783508e+00,3.427307510376e+01,-4.890795648098e-01,2.564694404602e+00,6.502157592773e+02,8.207070641220e-03,8.139717392623e-03
1.688038330078e+02,1.916360626221e+02,2.420372924805e+02,2.779527282715e+02,2.689338378906e+02,3.690822448730e+02,3.520691223145e+02,7.658139038086e+02,3.770431794692e-05,8.575524589105e-06,2.557726621628e+00,1.418322372437e+01,-1.389784514904e-01,2.465191602707e+00,6.101022949219e+02,1.570257544518e-02,1.545593794435e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.735728759766e+02,1.923424530029e+02,2.399076995850e+02,3.487576599121e+02,2.695615539551e+02,2.605528564453e+02,3.533507080078e+02,7.038161621094e+02,-4.222540010232e-04,1.755610719556e-05,3.222502231598e+00,7.585010051727e+00,9.034418314695e-02,2.135209560394e+00,5.313244018555e+02,1.219760160893e-03,1.218295772560e-03
2.379496765137e+02,2.439354400635e+02,2.508969421387e+02,2.452785491943e+02,1.547347717285e+02,3.743191146851e+01,4.233171691895e+02,3.032018432617e+02,1.678791479208e-03,7.985067895788e-06,3.647774934769e+00,7.463264942169e+00,-5.204334259033e-01,2.342390298843e+00,5.859610595703e+02,3.576841577888e-02,3.448906168342e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.853865966797e+02,1.977677459717e+02,2.361329040527e+02,6.750993652344e+02,6.779148559570e+02,8.498646850586e+02,3.597545471191e+02,2.019309326172e+03,-7.160982931964e-05,1.672293728916e-05,5.867222309113e+00,2.208791160583e+01,-1.837759315968e-01,2.160554647446e+00,5.315435791016e+02,5.330748856068e-03,5.302345845848e-03
2.382601623535e+02,2.450812988281e+02,2.511666717529e+02,1.748104095459e+02,1.003104019165e+02,6.569788455963e+00,4.242951965332e+02,1.731795806885e+02,3.920902963728e-03,2.981833131344e-05,5.911880493164e+00,1.147533226013e+01,-1.129792690277e+00,7.450714111328e-01,2.618800048828e+02,0.000000000000e+00,0.000000000000e+00
2.435149536133e+02,2.487591400146e+02,2.513421936035e+02,1.164855041504e+02,5.493021774292e+01,8.627087593079e+00,4.294406127930e+02,1.151126480103e+02,2.235213294625e-03,7.618336894666e-06,4.441689014435e+00,8.568646430969e+00,-7.427712678909e-01,7.976775169373e-01,2.145850830078e+02,0.000000000000e+00,0.000000000000e+00
1.663346099854e+02,1.860299072266e+02,2.357438049316e+02,4.036864929199e+02,3.151085510254e+02,3.793492126465e+02,3.435858154297e+02,8.975509643555e+02,6.402670987882e-04,4.135584822507e-05,3.398621082306e+00,1.973343276978e+01,-2.374723553658e-01,2.376516103745e+00,5.923420410156e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
