4.942042160034e+01,5.324760818481e+01,4.074501419067e+01,4.159157714844e+02,4.865466003418e+02,5.189682006836e+02,8.366708374023e+01,1.360031372070e+03,-4.625143774319e-04,1.259557757294e-05,2.766543388367e+00,1.384962749481e+01,2.230360060930e-01,2.935563087463e+00,7.373311767578e+02,0.000000000000e+00,0.000000000000e+00
2.028334808350e+02,2.317245025635e+02,2.433770904541e+02,9.102009887695e+02,7.822523803711e+02,6.258715209961e+02,3.929261474609e+02,2.006029907227e+03,6.315981736407e-04,3.883532372129e-06,6.222405433655e+00,5.190241241455e+01,-6.944613456726e-01,2.776089429855e+00,7.116199951172e+02,0.000000000000e+00,0.000000000000e+00
2.339940948486e+02,2.476087951660e+02,2.475327606201e+02,4.956059875488e+02,3.723800048828e+02,3.405246276855e+02,4.213346557617e+02,1.024663085938e+03,5.920063122176e-04,1.303384033235e-05,3.790944576263e+00,3.137233734131e+01,-3.840226233006e-01,2.069350004196e+00,5.144702148438e+02,3.924847394228e-02,3.967536240816e-02
2.286323852539e+02,2.416003417969e+02,2.466103057861e+02,7.415808105469e+02,5.488619384766e+02,4.333716735840e+02,4.144247741699e+02,1.433535766602e+03,2.278920146637e-04,1.448078728572e-05,3.722260475159e+00,2.247869110107e+01,-3.093279302120e-01,1.907814383507e+00,4.850621032715e+02,2.851452864707e-02,2.770148776472e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.379700469971e+02,2.477169494629e+02,2.494601593018e+02,3.986470642090e+02,2.465506591797e+02,1.258290939331e+02,4.247149047852e+02,6.111823730469e+02,-7.902533980086e-05,8.688673005963e-06,2.633130073547e+00,1.694307518005e+01,-2.579273283482e-01,1.906058192253e+00,4.877117919922e+02,2.816369011998e-02,2.737045846879e-02
2.054272460938e+02,2.282603302002e+02,2.446951599121e+02,8.089953613281e+02,6.898034057617e+02,5.115190429688e+02,3.930488586426e+02,1.705669189453e+03,3.107946540695e-04,9.440341273148e-06,5.096417427063e+00,4.198661041260e+01,-3.088819980621e-01,2.429227590561e+00,6.083778076172e+02,1.421345472336e-01,1.219323128462e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
