1.696643371582e+02,2.076417236328e+02,2.387587585449e+02,1.066878417969e+03,1.186037475586e+03,1.031317749023e+03,3.597454528809e+02,2.780105712891e+03,1.438855077140e-03,1.757694735716e-05,7.434583187103e+00,5.759798049927e+01,-9.782924652100e-01,2.263991832733e+00,5.932834472656e+02,1.484296917915e-01,2.744276523590e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6.845541381836e+01,7.513969421387e+01,8.863298797607e+01,7.112133789062e+02,7.490781860352e+02,9.449539184570e+02,1.352749633789e+02,2.293728271484e+03,-1.357068074867e-03,1.130004693550e-05,7.661857128143e+00,2.679977607727e+01,9.124649763107e-01,2.288723707199e+00,5.493135986328e+02,6.097938418388e-01,7.565007209778e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.525164794922e+02,1.657170257568e+02,1.914423065186e+02,2.175574493408e+02,2.858841857910e+02,3.967683410645e+02,2.958605651855e+02,7.401757202148e+02,2.275187987834e-03,5.246823093330e-06,9.067587852478e+00,3.276808929443e+01,-1.682221174240e+00,4.359064579010e+00,1.052156494141e+03,5.439560413361e-01,7.920235991478e-01
1.085689010620e+02,1.176417312622e+02,1.380866088867e+02,3.802731628418e+02,3.639385070801e+02,5.923584594727e+02,2.118758087158e+02,1.139827026367e+03,-1.226185122505e-03,8.805431207293e-06,6.811124324799e+00,2.432555961609e+01,9.723017215729e-01,2.942169189453e+00,7.589996337891e+02,2.559055089951e-01,4.463233351707e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.308608245850e+02,2.453827209473e+02,2.457337799072e+02,5.998699951172e+02,4.738743591309e+02,4.306433715820e+02,4.172834167480e+02,1.270837890625e+03,2.506065880880e-03,2.291190867254e-05,1.155552196503e+01,6.939366149902e+01,-2.049745082855e+00,1.898746371269e+00,5.054035339355e+02,6.919468194246e-02,6.440672278404e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7.858143615723e+01,8.546963500977e+01,9.883920288086e+01,1.094295898438e+03,1.165712158203e+03,1.487464111328e+03,1.528794708252e+02,3.624638427734e+03,-1.222468563356e-04,1.429458643543e-05,8.590482711792e+00,4.153628540039e+01,4.192742407322e-01,2.090049028397e+00,5.337781982422e+02,1.725327782333e-02,3.420887142420e-02
2.144781951904e+02,2.333943481445e+02,2.396898040771e+02,9.404063720703e+02,9.831845703125e+02,6.617032470703e+02,3.977889709473e+02,2.274714599609e+03,5.163247697055e-04,3.032802487724e-05,5.229293823242e+00,3.647231674194e+01,-6.032589077950e-01,1.912332296371e+00,4.804090881348e+02,2.018836438656e-01,3.133366405964e-01
2.407209930420e+02,2.517671051025e+02,2.509936828613e+02,2.050499267578e+02,2.123722457886e+01,9.486440658569e+00,4.295002441406e+02,1.031813812256e+02,-6.917211430846e-05,1.196152311422e-06,7.898187637329e-01,9.236224889755e-01,-2.699385024607e-02,2.258007287979e+00,5.694423217773e+02,1.155227608979e-02,2.267982810736e-02
2.399497528076e+02,2.473234710693e+02,2.470396728516e+02,5.003963623047e+02,4.390093078613e+02,3.266469421387e+02,4.241607055664e+02,1.140144409180e+03,2.938987381640e-05,9.141485861619e-06,3.315065145493e+00,1.665883064270e+01,-2.968565821648e-01,2.029415607452e+00,5.116369018555e+02,5.476414039731e-02,7.087271660566e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
