2.496257629395e+02,2.521372528076e+02,2.500515441895e+02,1.990473480225e+02,1.434483184814e+02,1.564002990723e+02,4.341383361816e+02,4.756283569336e+02,4.757768329000e-05,1.499336264033e-07,1.832208395004e+00,2.697255706787e+01,-2.587772607803e-01,2.294505983591e-01,5.750310516357e+01,0.000000000000e+00,0.000000000000e+00
2.499941101074e+02,2.522780456543e+02,2.500900268555e+02,1.699473419189e+02,1.330400085449e+02,1.604369506836e+02,4.344342956543e+02,4.409905700684e+02,8.961129788077e-05,7.867959084251e-07,1.700895071030e+00,2.603419303894e+01,-2.432148754597e-01,2.160050421953e-01,5.631336593628e+01,0.000000000000e+00,0.000000000000e+00
2.512730712891e+02,2.534969482422e+02,2.514945220947e+02,4.182380294800e+01,2.527879333496e+01,2.721007156372e+01,4.366526489258e+02,8.623778533936e+01,8.411196904490e-05,3.566751729522e-07,1.166978836060e+00,1.729030799866e+01,-1.958547979593e-01,1.817690730095e-01,5.070032119751e+01,0.000000000000e+00,0.000000000000e+00
2.481871185303e+02,2.505266723633e+02,2.488239440918e+02,4.353366699219e+02,3.942711486816e+02,3.604602355957e+02,4.316402893066e+02,1.158203491211e+03,1.051000435837e-05,4.623292170436e-06,1.756415128708e+00,2.583823966980e+01,-1.921324133873e-01,2.395559698343e-01,6.344612503052e+01,3.235271899030e-03,3.224809421226e-03
2.440013122559e+02,2.496634521484e+02,2.478831787109e+02,4.749236755371e+02,3.526158752441e+02,3.522899475098e+02,4.282839050293e+02,1.090463745117e+03,5.730336415581e-04,9.523711923975e-06,3.249799489975e+00,4.101616668701e+01,-4.413701891899e-01,1.366670846939e+00,3.517115173340e+02,7.493426650763e-02,6.931912153959e-02
9.788608551025e+01,1.095414581299e+02,1.009870223999e+02,1.184869018555e+03,1.353313964844e+03,2.213910156250e+03,1.797454986572e+02,4.223173339844e+03,8.729306864552e-04,6.138988101156e-05,1.502657318115e+01,4.331157302856e+01,5.105611681938e-01,2.281731605530e+00,4.700202026367e+02,4.484498798847e-01,2.473425120115e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3.813482284546e+01,4.298182678223e+01,3.539828109741e+01,1.737575073242e+02,2.329621887207e+02,1.588133544922e+02,6.770621490479e+01,5.364282226562e+02,-1.180252409540e-03,2.025298090302e-05,3.036836624146e+00,8.578426361084e+00,3.985079228878e-01,2.654834985733e+00,6.743555297852e+02,8.381088972092e-01,1.356825828552e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.169337692261e+02,1.243441543579e+02,1.193292236328e+02,3.667508789062e+03,3.585837402344e+03,4.573308593750e+03,2.097210083008e+02,1.121848437500e+04,1.002119574696e-02,5.599478026852e-04,1.077196216583e+01,3.321324539185e+01,-1.125574946404e+00,1.689672350883e+00,4.645359191895e+02,4.707792103291e-01,2.491459846497e-01
