2.511332092285e+02,2.534215850830e+02,2.511310882568e+02,4.089864349365e+01,2.210185813904e+01,4.242798233032e+01,4.363266296387e+02,9.161370086670e+01,3.065853525186e-05,3.192648989625e-08,7.968229651451e-01,6.951397418976e+00,-1.165833473206e-01,3.376419842243e-01,8.656493377686e+01,9.492429904640e-03,9.402362629771e-03
2.504140014648e+02,2.529207916260e+02,2.495692901611e+02,7.414217376709e+01,3.729371643066e+01,1.344204711914e+02,4.347701110840e+02,1.989206237793e+02,3.028641731362e-05,5.148347881345e-08,9.855071902275e-01,8.759571075439e+00,-1.140132322907e-01,2.657731175423e-01,6.751553344727e+01,1.574488542974e-02,1.549708284438e-02
2.497944335938e+02,2.526363220215e+02,2.508280944824e+02,1.179080657959e+02,5.795877075195e+01,5.294982147217e+01,4.349617004395e+02,1.897915344238e+02,7.115856988094e-06,2.314137873327e-06,1.193270444870e+00,1.149541187286e+01,-1.543785929680e-01,3.265506625175e-01,8.418348693848e+01,4.056137055159e-03,4.039726220071e-03
2.501595001221e+02,2.524520568848e+02,2.506511383057e+02,1.152107467651e+02,8.421720886230e+01,6.701130676270e+01,4.349541320801e+02,2.430711212158e+02,1.105130431824e-04,2.154874209737e-06,1.269541382790e+00,1.215526294708e+01,-1.647281348705e-01,3.456327617168e-01,8.937619781494e+01,4.820106551051e-03,4.796872846782e-03
2.510444793701e+02,2.533422393799e+02,2.513932495117e+02,5.930128479004e+01,3.345754623413e+01,3.169592475891e+01,4.364010009766e+02,1.101708831787e+02,5.777353726444e-05,6.463033486170e-08,1.405428171158e+00,1.879794502258e+01,-2.256945073605e-01,2.242711037397e-01,5.886430358887e+01,0.000000000000e+00,0.000000000000e+00
2.500050354004e+02,2.526606292725e+02,2.508758544922e+02,1.492265472412e+02,9.015396881104e+01,7.037236022949e+01,4.351427001953e+02,2.784636230469e+02,7.460280176019e-05,1.654842236576e-07,1.965286970139e+00,2.783466339111e+01,-3.004859387875e-01,2.915503382683e-01,7.258627319336e+01,0.000000000000e+00,0.000000000000e+00
7.634568786621e+01,8.076308441162e+01,7.559575653076e+01,8.655784301758e+02,7.700380859375e+02,9.315715332031e+02,1.348250122070e+02,2.454708007812e+03,-7.999736117199e-04,1.733564931783e-05,4.634788036346e+00,2.111654853821e+01,4.057520031929e-01,2.244215965271e+00,5.665618286133e+02,5.531324446201e-02,6.467758119106e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9.671704101562e+01,9.867457580566e+01,9.619858551025e+01,9.241326293945e+02,7.998068847656e+02,9.731469726562e+02,1.690349884033e+02,2.468266845703e+03,-6.040423177183e-04,4.788067235495e-05,6.284154415131e+00,2.212925720215e+01,4.212335348129e-01,2.878885269165e+00,7.143264770508e+02,6.978769600391e-02,7.079649716616e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.389072113037e+02,1.401855621338e+02,1.424123687744e+02,9.492590332031e+02,6.059035644531e+02,6.208607177734e+02,2.442528991699e+02,1.745028076172e+03,-1.693867333233e-02,1.732528035063e-04,5.031881809235e+00,3.244927883148e+00,2.116842985153e+00,4.389406681061e+00,1.309483764648e+03,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.193568344116e+02,1.306383209229e+02,1.097432937622e+02,8.269414672852e+02,9.010418090820e+02,9.439840698242e+02,2.088233947754e+02,2.420365234375e+03,4.109182045795e-04,6.673352618236e-05,8.240822792053e+00,2.076189613342e+01,2.983366250992e-01,2.679189205170e+00,6.581749267578e+02,2.298850566149e-03,2.293571364135e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.294155731201e+02,1.396180114746e+02,1.096803207397e+02,9.969640502930e+02,1.068446411133e+03,7.222943115234e+02,2.200574035645e+02,2.633280761719e+03,1.239017234184e-03,6.106207001721e-05,5.504292488098e+00,1.079278278351e+01,6.602554768324e-02,2.613519430161e+00,6.610395507812e+02,1.115648075938e-01,9.911805391312e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
