2.446829528809e+02,2.479741363525e+02,2.416286773682e+02,5.903394165039e+02,4.992155456543e+02,5.174918212891e+02,4.241811828613e+02,1.434247192383e+03,3.062263422180e-04,5.305706963554e-06,4.565901756287e+00,4.664742279053e+01,-6.862652301788e-01,9.512371420860e-01,2.720012512207e+02,3.621467351913e-01,5.896848440170e-01
6.757688140869e+01,6.328087997437e+01,6.519500732422e+01,9.986103515625e+02,8.478164672852e+02,7.945823974609e+02,1.136979217529e+02,2.536501464844e+03,1.405166403856e-04,7.221161467896e-06,4.993738174438e+00,3.205611038208e+01,2.594178617001e-01,2.058452844620e+00,4.975792541504e+02,1.421321630478e+00,5.033847689629e-01
5.729436874390e+01,4.901039886475e+01,5.009035491943e+01,6.594689331055e+02,3.643164978027e+02,3.889400329590e+02,9.098274230957e+01,1.328866577148e+03,-1.975451596081e-04,1.103368231270e-05,5.129113197327e+00,4.191070175171e+01,6.074765324593e-01,2.369784355164e+00,5.621565551758e+02,3.749324679375e-01,2.343582957983e-01
4.936313247681e+01,4.430761718750e+01,4.804726409912e+01,4.554689025879e+02,3.458056640625e+02,4.511428833008e+02,8.229222106934e+01,1.189107177734e+03,-8.828283171169e-05,1.804080625334e-06,3.190994739532e+00,2.140436172485e+01,2.678211331367e-01,2.325147628784e+00,5.832335815430e+02,8.811984211206e-03,8.734321221709e-03
2.439371185303e+02,2.487646484375e+02,2.452857360840e+02,6.367850341797e+02,3.899223022461e+02,2.934472656250e+02,4.262765197754e+02,1.175522094727e+03,9.292326285504e-05,1.823426600822e-06,3.540938615799e+00,4.064635086060e+01,-4.229897558689e-01,5.872230529785e-01,1.587086334229e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5.438412857056e+01,5.085481643677e+01,5.384639358521e+01,5.971422119141e+02,5.475305786133e+02,5.867523803711e+02,9.266737365723e+01,1.587798461914e+03,-5.945169832557e-04,1.054450422089e-05,6.000698089600e+00,2.920945167542e+01,7.049485445023e-01,2.472360372543e+00,6.208602905273e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
