6.812905120850e+01,7.358512878418e+01,5.380513000488e+01,1.599234497070e+03,1.833203369141e+03,1.240693481445e+03,1.144601440430e+02,4.523080078125e+03,6.871567165945e-05,5.348240665626e-05,4.853137016296e+00,2.796805000305e+01,2.770450711250e-01,2.569240808487e+00,6.437260742188e+02,1.192354932427e-01,1.050186008215e-01
1.103207244873e+02,8.363850402832e+01,7.594719696045e+01,2.939491943359e+03,1.681075073242e+03,1.393266357422e+03,1.585989074707e+02,5.795016113281e+03,5.400099908002e-04,5.221145329415e-06,9.008726119995e+00,5.531011581421e+01,-3.625562787056e-01,2.452266216278e+00,6.170191650391e+02,8.551080822945e-01,1.238981038332e-01
3.891771697998e+01,3.124295997620e+01,2.937407684326e+01,1.092941406250e+03,6.854176635742e+02,6.073673095703e+02,5.835756683350e+01,2.333720947266e+03,-4.356750287116e-04,2.597363845780e-06,6.610649585724e+00,5.475742721558e+01,8.571376800537e-01,2.124710798264e+00,5.219276733398e+02,5.098861455917e-01,2.499022781849e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.235909423828e+02,2.009866790771e+02,1.840445404053e+02,1.358376464844e+03,2.791387451172e+03,3.202885009766e+03,3.537807312012e+02,6.457573242188e+03,2.362421015278e-03,5.892091940041e-05,9.729160308838e+00,4.253432464600e+01,-1.151296496391e+00,1.881145477295e+00,4.630534973145e+02,8.564906120300e-01,1.229141354561e-01
4.904385375977e+01,3.842343521118e+01,4.468080520630e+01,6.810806884766e+02,4.539364624023e+02,8.111036376953e+02,7.896512603760e+01,1.588681884766e+03,-5.633381661028e-03,2.389211840637e-05,1.220092201233e+01,4.797171401978e+01,3.648323059082e+00,2.546351671219e+00,6.519464111328e+02,3.882099092007e-01,2.375026643276e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.469586181641e+02,2.495626525879e+02,2.477416839600e+02,4.751266174316e+02,2.869349975586e+02,2.416353607178e+02,4.298500061035e+02,8.910676879883e+02,1.575000205776e-04,8.461411766802e-07,4.163473606110e+00,6.143751907349e+01,-5.702833533287e-01,6.743797063828e-01,1.785954284668e+02,3.569042980671e-01,2.295241504908e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
