2.496855316162e+02,2.523339385986e+02,2.485656127930e+02,1.072822189331e+02,6.884059143066e+01,1.689033813477e+02,4.334610595703e+02,2.817196960449e+02,9.989201998906e-07,2.392777105342e-06,9.959841966629e-01,6.159803867340e+00,-1.011325120926e-01,3.964683711529e-01,1.010199279785e+02,3.460507094860e-02,3.340747952461e-02
2.505253295898e+02,2.529040985107e+02,2.501271820068e+02,8.758361053467e+01,5.622365188599e+01,1.293845520020e+02,4.351157836914e+02,2.459631958008e+02,6.067211143090e-05,3.369728176494e-07,9.759267568588e-01,8.878948211670e+00,-1.190884783864e-01,3.440403342247e-01,8.763469696045e+01,1.421086024493e-02,1.400893274695e-02
2.508842315674e+02,2.529746093750e+02,2.508792572021e+02,5.432387542725e+01,4.434043121338e+01,5.055068206787e+01,4.357918090820e+02,1.281599578857e+02,-3.103775725322e-06,1.595535286469e-05,1.063518643379e+00,1.022374916077e+01,-1.491230726242e-01,3.923229575157e-01,9.910553741455e+01,2.731362357736e-03,2.723874291405e-03
2.502462615967e+02,2.525893707275e+02,2.508240814209e+02,9.769212341309e+01,7.104396057129e+01,5.237739181519e+01,4.351773681641e+02,1.994997253418e+02,6.812350329710e-05,1.773364260771e-06,1.145915746689e+00,1.011721038818e+01,-1.444726735353e-01,3.189083635807e-01,8.095308685303e+01,2.342192642391e-02,2.719232067466e-02
2.507626800537e+02,2.530081634521e+02,2.510705108643e+02,8.867264556885e+01,6.311348342896e+01,5.728245925903e+01,4.358513793945e+02,1.968753051758e+02,3.955466672778e-05,7.053152017988e-08,1.294100642204e+00,1.640297889709e+01,-1.949785202742e-01,2.211869359016e-01,5.643951797485e+01,0.000000000000e+00,0.000000000000e+00
2.503361511230e+02,2.529039764404e+02,2.510697479248e+02,1.194411926270e+02,7.009276580811e+01,5.263296508789e+01,4.355811157227e+02,2.190625610352e+02,6.128919631010e-05,1.868027652563e-07,1.714157938957e+00,2.353003501892e+01,-2.663398683071e-01,2.938813865185e-01,7.465287017822e+01,5.213220603764e-03,5.186013411731e-03
8.182157897949e+01,8.702056884766e+01,8.245032501221e+01,9.798922119141e+02,8.675335693359e+02,1.142572143555e+03,1.454954833984e+02,2.886777587891e+03,-9.810057235882e-04,2.242569644295e-05,4.984699726105e+00,2.209521675110e+01,4.601820111275e-01,2.370767116547e+00,5.987944335938e+02,3.214993327856e-02,4.391521960497e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
