1.700223541260e+02,2.083181304932e+02,2.388996582031e+02,1.136922241211e+03,1.298460449219e+03,1.090222045898e+03,3.603197021484e+02,3.078925292969e+03,1.409566611983e-03,1.936224361998e-05,7.110800266266e+00,5.794137954712e+01,-8.992527127266e-01,1.988148808479e+00,5.168217773438e+02,1.868751198053e-01,3.388278782368e-01
6.043397903442e+01,6.666076660156e+01,7.959079742432e+01,7.711443481445e+02,8.206389160156e+02,1.126996948242e+03,1.206528930664e+02,2.592211914062e+03,-2.718460513279e-03,3.390830897843e-05,8.255951881409e+00,3.260792541504e+01,1.292943835258e+00,2.164791345596e+00,5.446202392578e+02,3.030220568180e-01,4.529642164707e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.511056518555e+02,1.666648406982e+02,1.925592041016e+02,3.446919250488e+02,4.106529541016e+02,6.091546630859e+02,2.964394226074e+02,1.177132568359e+03,1.613005646504e-03,4.973209343007e-06,9.655164718628e+00,3.534768676758e+01,-1.445742249489e+00,3.393097639084e+00,8.170007934570e+02,4.207650125027e-01,4.331571459770e-01
1.074100418091e+02,1.138326339722e+02,1.346422576904e+02,1.721790466309e+02,9.706828308105e+01,1.446563415527e+02,2.068604736328e+02,2.459688415527e+02,-1.706317183562e-03,9.018845958053e-06,6.732028961182e+00,1.981327056885e+01,1.328401803970e+00,2.551490545273e+00,6.722322387695e+02,0.000000000000e+00,0.000000000000e+00
2.302406921387e+02,2.431394653320e+02,2.428232879639e+02,7.027942504883e+02,6.808104858398e+02,6.859269409180e+02,4.139355468750e+02,1.815618652344e+03,2.520539099351e-03,2.058054997178e-05,1.096025371552e+01,7.178493499756e+01,-1.935463190079e+00,2.047139406204e+00,5.244390258789e+02,5.754908546805e-03,5.721792113036e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6.860197448730e+01,7.611019897461e+01,9.223256683350e+01,9.758056030273e+02,1.031582153320e+03,1.301287963867e+03,1.385277404785e+02,3.124597412109e+03,7.548384601250e-04,2.673452581803e-05,9.014837265015e+00,5.402300643921e+01,3.474644720554e-01,1.934657573700e+00,4.871972961426e+02,0.000000000000e+00,0.000000000000e+00
2.215263671875e+02,2.425483245850e+02,2.460759277344e+02,8.115395507812e+02,6.794995727539e+02,5.172088012695e+02,4.108494567871e+02,1.667087036133e+03,5.631122621708e-04,5.905196303502e-05,5.570834636688e+00,5.413505554199e+01,-6.975558996201e-01,1.596672654152e+00,4.129613647461e+02,5.274336412549e-02,4.996155947447e-02
2.406801605225e+02,2.514777374268e+02,2.507891998291e+02,2.167752380371e+02,5.364958190918e+01,3.515691375732e+01,4.291905212402e+02,1.765387268066e+02,-1.177701633424e-04,5.173424597160e-06,9.421271681786e-01,1.700916051865e+00,-5.028889700770e-02,2.117315769196e+00,5.349075317383e+02,0.000000000000e+00,0.000000000000e+00
