1.342236480713e+02,1.619669342041e+02,2.221122894287e+02,5.142717285156e+02,4.100489196777e+02,5.989879760742e+02,3.061750488281e+02,1.367796142578e+03,4.343714972492e-04,2.231004145870e-06,3.357432126999e+00,2.617714500427e+01,-3.833994269371e-01,2.544751644135e+00,6.430056762695e+02,4.022135213017e-02,3.860356658697e-02
1.699969177246e+02,1.931059570312e+02,2.429429016113e+02,2.845108032227e+02,2.741412658691e+02,3.639589843750e+02,3.541428527832e+02,7.113364868164e+02,-7.618773088325e-05,7.574042683700e-06,2.447120189667e+00,1.492450237274e+01,-1.510775089264e-01,2.373785018921e+00,5.949816894531e+02,7.420143112540e-03,1.460437197238e-02
1.724828338623e+02,1.942318420410e+02,2.438699951172e+02,3.508723449707e+02,2.452094879150e+02,1.772522888184e+02,3.566285705566e+02,5.433009643555e+02,-6.486442725873e-05,7.565578926005e-06,2.255698442459e+00,3.693929433823e+00,2.022133022547e-02,2.375865221024e+00,5.914965820312e+02,8.384078741074e-03,8.313780650496e-03
1.840093078613e+02,1.982052612305e+02,2.360969390869e+02,5.316428222656e+02,5.504870605469e+02,7.467324218750e+02,3.593344726562e+02,1.595670654297e+03,-4.437623720150e-04,1.361367139907e-05,4.989341259003e+00,1.355152320862e+01,-2.570458501577e-02,2.426621913910e+00,5.914326782227e+02,1.862248405814e-02,1.827568560839e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7.900000000000e+01,8.465277862549e+01,1.112500000000e+02,4.078331604004e+02,1.025143188477e+03,2.420159667969e+03,1.615957946777e+02,3.523600097656e+03,-9.132281877100e-03,4.435641312739e-05,5.375350952148e+00,4.969881057739e+00,3.528467416763e+00,3.186156749725e+00,8.807998657227e+02,0.000000000000e+00,0.000000000000e+00
1.745430450439e+02,1.962483367920e+02,2.425629119873e+02,3.358308105469e+02,3.119353332520e+02,5.442130737305e+02,3.576804199219e+02,1.072087646484e+03,-6.912850658409e-04,2.986797653648e-06,7.700962543488e+00,1.706134414673e+01,4.345506727695e-01,2.742064714432e+00,6.412840576172e+02,0.000000000000e+00,0.000000000000e+00
1.653715667725e+02,1.845567016602e+02,2.314487457275e+02,4.283965454102e+02,3.311718139648e+02,5.681058349609e+02,3.394669189453e+02,1.061320312500e+03,3.256374329794e-04,3.812858994934e-05,3.417594909668e+00,1.607636070251e+01,-1.545259058475e-01,2.484975576401e+00,6.245056152344e+02,1.098357420415e-02,1.086296141148e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
