2.483198547363e+02,2.515121002197e+02,2.495481262207e+02,3.099759216309e+02,2.281387634277e+02,2.486284942627e+02,4.327442626953e+02,7.431671142578e+02,-2.212344406871e-05,5.586464908447e-07,1.744934678078e+00,2.023866081238e+01,-1.985385119915e-01,5.088930726051e-01,1.289362640381e+02,0.000000000000e+00,0.000000000000e+00
2.489787597656e+02,2.516761169434e+02,2.496672821045e+02,2.698531188965e+02,1.889881591797e+02,2.034470825195e+02,4.332939147949e+02,6.246881713867e+02,2.990204084199e-04,2.566519697211e-06,2.662648439407e+00,3.964811325073e+01,-3.807469010353e-01,4.391919672489e-01,1.055453262329e+02,0.000000000000e+00,0.000000000000e+00
2.508419494629e+02,2.532026214600e+02,2.512924499512e+02,7.373316955566e+01,4.577170181274e+01,4.070312881470e+01,4.361603698730e+02,1.448367462158e+02,6.591436977033e-05,7.358090670095e-08,2.063066482544e+00,3.225973510742e+01,-3.335516750813e-01,2.161809802055e-01,5.756440353394e+01,0.000000000000e+00,0.000000000000e+00
2.498291473389e+02,2.524826354980e+02,2.507625122070e+02,1.644686584473e+02,9.545235443115e+01,6.965742492676e+01,4.348981628418e+02,2.802002868652e+02,-3.455612386460e-05,1.809824311749e-06,2.201382637024e+00,2.951748847961e+01,-3.139728605747e-01,5.425344705582e-01,1.362384643555e+02,2.361213229597e-02,3.165979683399e-02
2.490852813721e+02,2.519261627197e+02,2.504476165771e+02,2.135504302979e+02,1.354194030762e+02,8.915343475342e+01,4.339557189941e+02,3.880289611816e+02,1.139688392868e-04,2.406153782886e-07,2.990928888321e+00,4.411644363403e+01,-4.506798684597e-01,4.272598326206e-01,1.108135604858e+02,2.899610064924e-02,2.815529704094e-02
6.260564804077e+01,7.044103240967e+01,6.336923599243e+01,4.879628906250e+02,5.264912719727e+02,4.909672546387e+02,1.144191513062e+02,1.311205078125e+03,1.977708052436e-05,1.640334448894e-05,5.546679496765e+00,3.614520645142e+01,3.854633271694e-01,2.322993040085e+00,5.872269287109e+02,1.556074246764e-02,1.531859301031e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5.464670944214e+01,5.983578872681e+01,5.039834213257e+01,5.263600463867e+02,5.891446533203e+02,5.215065917969e+02,9.589261627197e+01,1.548592163086e+03,-1.718535437249e-03,2.503414543753e-05,5.728049278259e+00,3.534980392456e+01,7.468218207359e-01,2.357470989227e+00,6.093681030273e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7.401963043213e+01,7.711412048340e+01,7.224192047119e+01,1.000053527832e+03,8.465357666016e+02,7.521057128906e+02,1.299617614746e+02,2.352760253906e+03,-4.040911153425e-04,2.260297515022e-05,7.019014835358e+00,3.353523635864e+01,5.133380293846e-01,2.205616235733e+00,5.499668579102e+02,1.784652005881e-03,1.781477592885e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
