2.496966094971e+02,2.524148559570e+02,2.506163330078e+02,1.844920196533e+02,1.161046447754e+02,1.047689743042e+02,4.346465759277e+02,3.773355407715e+02,4.390518370201e-05,6.982311617776e-08,1.388958573341e+00,1.925608634949e+01,-1.855721026659e-01,2.185602039099e-01,5.500793457031e+01,4.225471056998e-03,4.207620397210e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7.977270507812e+01,8.570164489746e+01,7.151602172852e+01,5.091506347656e+02,5.700823364258e+02,7.500264892578e+02,1.376689147949e+02,1.699232055664e+03,2.192009269493e-04,1.939478170243e-05,6.860223293304e+00,3.605535888672e+01,5.335236787796e-01,2.281840562820e+00,5.777301635742e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4.161317062378e+01,4.395363998413e+01,3.814764404297e+01,3.867459716797e+02,4.507533569336e+02,3.207437744141e+02,7.168659210205e+01,1.137965087891e+03,1.027665493893e-04,1.263068679691e-05,2.206918716431e+00,1.266592216492e+01,1.482975035906e-01,2.601174116135e+00,6.565479736328e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
