1.487534179688e+02,1.882961730957e+02,2.495304718018e+02,4.665978698730e+02,4.085195617676e+02,8.854344940186e+01,3.467582702637e+02,5.707073974609e+02,1.977782376343e-04,1.639599531700e-06,2.611962795258e+00,1.510692596436e+01,-1.195125803351e-01,2.037620067596e+00,5.112669372559e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.079210815430e+02,2.400142669678e+02,2.507947845459e+02,4.714753723145e+02,2.474036560059e+02,9.946290588379e+01,4.049914245605e+02,5.452555541992e+02,3.515231364872e-04,2.154258254450e-06,3.050152540207e+00,2.822940063477e+01,-3.052987754345e-01,2.321855068207e+00,5.881892089844e+02,1.131733763032e-03,1.884974306449e-03
1.924659423828e+02,2.286727142334e+02,2.518854370117e+02,2.037464141846e+02,1.665966033936e+02,3.742599785328e-01,3.910937500000e+02,1.986086120605e+02,-2.015824720729e-04,5.872317956346e-07,1.591298341751e+00,1.397180318832e+00,1.131944730878e-01,2.406647682190e+00,6.074223022461e+02,3.143555717543e-03,3.133663209155e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.382323913574e+02,2.478392028809e+02,2.513795318604e+02,4.543635253906e+02,2.258447570801e+02,9.577195739746e+01,4.261430969238e+02,5.496906738281e+02,1.274085079785e-04,1.190596412926e-05,2.841744184494e+00,1.640610504150e+01,-2.507592737675e-01,1.878896832466e+00,4.791712341309e+02,0.000000000000e+00,0.000000000000e+00
2.378474884033e+02,2.501397552490e+02,2.521425781250e+02,3.513702087402e+02,1.185664215088e+02,4.467961502075e+01,4.276536865234e+02,3.343129577637e+02,7.543700485257e-05,2.472708729329e-06,2.356276988983e+00,1.114017200470e+01,-1.816983073950e-01,1.925911426544e+00,4.880413818359e+02,1.000889670104e-02,9.908777661622e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.068410797119e+02,2.319013061523e+02,2.500342864990e+02,4.069885864258e+02,2.859534912109e+02,1.005487060547e+02,3.991503906250e+02,5.559262695312e+02,2.923039137386e-04,1.027660437103e-05,3.929351806641e+00,3.310838699341e+01,-2.972490787506e-01,2.350039243698e+00,5.927799072266e+02,6.966184824705e-02,6.480909138918e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
