2.382181854248e+02,2.419523468018e+02,2.233761444092e+02,5.947149047852e+02,4.724786376953e+02,1.285003906250e+03,4.070379333496e+02,1.872363891602e+03,4.946013796143e-04,2.008273258980e-05,5.131412029266e+00,1.542964172363e+01,-5.287750959396e-01,2.157124996185e+00,5.371618652344e+02,2.549273669720e-01,2.093713879585e-01
7.723598480225e+01,8.624435424805e+01,7.323040771484e+01,1.339640991211e+03,1.436896606445e+03,1.035901489258e+03,1.378240356445e+02,3.582869140625e+03,-9.715762571432e-04,1.994842750719e-05,6.293900012970e+00,2.015702629089e+01,6.913856267929e-01,3.071456670761e+00,7.879501342773e+02,4.203626215458e-01,3.981904685497e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.880808715820e+02,2.002633209229e+02,1.652110443115e+02,2.251326904297e+03,1.849142822266e+03,1.985048583984e+03,3.217970275879e+02,5.306620605469e+03,3.616869216785e-03,1.145675851149e-04,7.285361766815e+00,1.355124855042e+01,-1.330643892288e+00,3.608328819275e+00,9.480283203125e+02,5.690335035324e-01,3.596324920654e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8.634753417969e+01,9.702271270752e+01,7.983592987061e+01,1.401954956055e+03,1.537473999023e+03,1.022466979980e+03,1.534400787354e+02,3.660735595703e+03,-2.429626183584e-03,4.926064866595e-05,7.361129760742e+00,1.545857429504e+01,8.795044422150e-01,2.731914043427e+00,7.062874755859e+02,7.455983757973e-01,3.448230028152e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.837766723633e+02,2.075823211670e+02,1.583105926514e+02,1.816147827148e+03,1.556171997070e+03,1.387213378906e+03,3.200512084961e+02,4.253236328125e+03,-3.318492323160e-03,2.302376815351e-04,7.446172237396e+00,1.064740467072e+01,2.729186415672e-01,2.479440927505e+00,6.383786010742e+02,8.464176654816e-01,1.299947053194e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
