2.500823211670e+02,2.526257629395e+02,2.506614685059e+02,1.378262023926e+02,8.618543243408e+01,8.633175659180e+01,4.350240783691e+02,2.874124450684e+02,6.744160054950e-05,2.484994467977e-07,1.616953372955e+00,2.168274879456e+01,-2.368410527706e-01,2.821525335312e-01,7.154508972168e+01,3.670735168271e-04,3.669414727483e-04
2.495812988281e+02,2.520647277832e+02,2.501159973145e+02,2.136495666504e+02,1.576932983398e+02,1.569553985596e+02,4.340936889648e+02,5.014554443359e+02,1.572427281644e-04,1.891116994557e-06,1.861015677452e+00,2.745167732239e+01,-2.616411447525e-01,2.400085628033e-01,6.300280761719e+01,0.000000000000e+00,0.000000000000e+00
2.486802978516e+02,2.509258575439e+02,2.488776092529e+02,3.520533142090e+02,3.232901916504e+02,3.368575439453e+02,4.321965026855e+02,9.861362915039e+02,1.179861937999e-04,3.682364422275e-06,1.818876862526e+00,2.485914802551e+01,-2.342244833708e-01,3.256628811359e-01,8.333719635010e+01,2.066962793469e-02,4.091207310557e-02
2.497628631592e+02,2.522830047607e+02,2.506377716064e+02,2.204163513184e+02,1.569425201416e+02,1.158183288574e+02,4.346259155273e+02,4.635797424316e+02,1.422290806659e-04,1.050691935234e-06,1.958156824112e+00,3.038627433777e+01,-2.935408055782e-01,3.970110118389e-01,1.070534667969e+02,5.906879901886e-03,1.004161033779e-02
2.417862396240e+02,2.485861206055e+02,2.475474700928e+02,6.151082763672e+02,3.807608642578e+02,2.940829467773e+02,4.262644653320e+02,1.156008789062e+03,6.754222558811e-04,9.365982805321e-06,4.031015872955e+00,4.945886230469e+01,-5.637505054474e-01,1.456458806992e+00,3.643007812500e+02,1.063164509833e-02,1.101896353066e-02
5.806470870972e+01,6.627716064453e+01,5.469685363770e+01,3.644559631348e+02,4.951187438965e+02,6.923332519531e+02,1.042006530762e+02,1.449614135742e+03,1.957057684194e-04,2.694982504181e-05,4.659770011902e+00,3.187196922302e+01,2.729595303535e-01,2.378552913666e+00,6.111331176758e+02,3.399168252945e-01,2.243732959032e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
