2.490611267090e+02,2.510287933350e+02,2.469834594727e+02,1.291333160400e+02,1.416176147461e+02,1.882997436523e+02,4.313610229492e+02,4.022214660645e+02,-5.173134923098e-05,3.527597982611e-06,1.436438918114e+00,1.002032852173e+01,-1.455956846476e-01,5.133840441704e-01,1.326273040771e+02,0.000000000000e+00,0.000000000000e+00
2.496711730957e+02,2.521577453613e+02,2.477030639648e+02,1.432802734375e+02,9.632334136963e+01,2.424097595215e+02,4.327756958008e+02,4.270447082520e+02,3.802803985309e-05,2.496130264262e-06,1.236351609230e+00,1.176931571960e+01,-1.396375447512e-01,4.110031425953e-01,1.046747817993e+02,0.000000000000e+00,0.000000000000e+00
2.464584503174e+02,2.495717163086e+02,2.431492004395e+02,3.390050048828e+02,2.447816772461e+02,5.613798217773e+02,4.269116210938e+02,1.008298217773e+03,-4.495403481997e-05,1.370510472043e-05,1.647514104843e+00,1.301408004761e+01,-1.388837993145e-01,7.928579449654e-01,1.993131866455e+02,2.517052553594e-02,3.587351739407e-02
2.502523956299e+02,2.524287719727e+02,2.493577728271e+02,1.566959228516e+02,1.438840484619e+02,1.545927429199e+02,4.341719970703e+02,4.374812316895e+02,2.615842277010e-05,1.109089680540e-06,1.153702020645e+00,1.125000095367e+01,-1.710890829563e-01,3.074118196964e-01,8.003917694092e+01,0.000000000000e+00,0.000000000000e+00
2.508976287842e+02,2.531997375488e+02,2.501109161377e+02,7.200878143311e+01,5.029499816895e+01,6.607528686523e+01,4.354185180664e+02,1.772004241943e+02,4.363639527583e-05,4.722292601400e-08,1.312936663628e+00,1.494234085083e+01,-2.057291120291e-01,2.199571579695e-01,5.546357727051e+01,1.812946517020e-03,1.809678273275e-03
2.499303894043e+02,2.529138793945e+02,2.499414367676e+02,1.162558746338e+02,4.828920364380e+01,4.711317825317e+01,4.346209716797e+02,1.842694854736e+02,9.183194197249e-05,2.992080396780e-07,2.087793827057e+00,2.462573814392e+01,-3.218868970871e-01,4.459432065487e-01,1.123579940796e+02,3.899906948209e-02,6.516341865063e-02
1.134856109619e+02,1.204681243896e+02,1.077571945190e+02,1.106326171875e+03,9.670202636719e+02,1.036091918945e+03,1.981388397217e+02,2.852264892578e+03,-9.850871283561e-04,6.184067751747e-05,5.566253662109e+00,2.239110946655e+01,4.137429594994e-01,2.607897996902e+00,6.494881591797e+02,3.164615482092e-02,4.100824519992e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.214175796509e+02,1.415604400635e+02,1.440439605713e+02,3.842869262695e+02,3.176968078613e+02,7.756682128906e+02,2.364890899658e+02,1.080842529297e+03,-7.987556164153e-04,1.695141122582e-06,1.961489677429e+01,6.511877536774e+00,1.109681010246e+00,-6.253094971180e-02,6.199349164963e-01,0.000000000000e+00,0.000000000000e+00
7.778950500488e+01,8.646601867676e+01,7.373364257812e+01,4.061821594238e+02,4.784023742676e+02,3.066189270020e+02,1.379894256592e+02,1.114029418945e+03,-2.379790879786e-03,4.618076491170e-05,4.328216552734e+00,1.575082874298e+01,6.002111434937e-01,2.434012889862e+00,6.247812500000e+02,2.293513529003e-02,2.578607201576e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
