2.049025878906e+02,2.212871398926e+02,2.432500915527e+02,1.038944213867e+03,7.120417480469e+02,3.912888488770e+02,3.880298767090e+02,1.692797973633e+03,1.167945214547e-03,9.255603799829e-06,6.367093086243e+00,4.726083374023e+01,-8.056739568710e-01,2.044560194016e+00,5.047037048340e+02,0.000000000000e+00,0.000000000000e+00
9.227298736572e+01,9.033522033691e+01,1.024115982056e+02,3.858508300781e+02,4.134670410156e+02,6.405324096680e+02,1.657369842529e+02,1.134072753906e+03,-5.538003053516e-03,4.601141699823e-05,1.194138526917e+01,3.231049346924e+01,2.368327379227e+00,9.755107164383e-01,3.647970581055e+02,0.000000000000e+00,0.000000000000e+00
2.330664062500e+02,2.453847961426e+02,2.459651336670e+02,8.133127441406e+02,6.313820190430e+02,5.319488525391e+02,4.185832214355e+02,1.796274047852e+03,7.762765744701e-04,4.517413799476e-06,6.623956680298e+00,7.389132690430e+01,-8.717584013939e-01,1.666747093201e+00,4.715554504395e+02,2.556440979242e-02,3.885509446263e-02
4.351931762695e+01,4.571985626221e+01,3.998213958740e+01,4.495173339844e+02,4.438431396484e+02,4.015651855469e+02,7.537020111084e+01,1.197317138672e+03,-1.715134363621e-03,1.205907847179e-05,7.151387214661e+00,4.579441833496e+01,1.130752325058e+00,1.972432136536e+00,4.758009948730e+02,0.000000000000e+00,0.000000000000e+00
2.425510253906e+02,2.489579315186e+02,2.491663513184e+02,5.615532836914e+02,3.382192077637e+02,2.215293273926e+02,4.277963562012e+02,9.830957031250e+02,1.246097963303e-04,7.232541975100e-06,5.107967853546e+00,6.670910644531e+01,-6.633507609367e-01,1.336534500122e+00,3.515285644531e+02,1.647472754121e-02,1.620331779122e-02
2.477820129395e+02,2.515087432861e+02,2.499144439697e+02,3.154527893066e+02,2.228432922363e+02,1.755287780762e+02,4.325780944824e+02,6.641605834961e+02,5.001449244446e-05,7.436897817570e-07,2.935487270355e+00,4.871661376953e+01,-4.282734096050e-01,6.515344977379e-01,1.647017211914e+02,3.535501658916e-02,3.410500660539e-02
2.475324707031e+02,2.514246520996e+02,2.496717529297e+02,2.953753967285e+02,1.965570526123e+02,1.708390197754e+02,4.322569274902e+02,6.049130249023e+02,1.340759336017e-04,6.931954317224e-07,3.302827596664e+00,5.182903289795e+01,-4.870154559612e-01,5.343831181526e-01,1.353475952148e+02,4.672077298164e-02,5.002149567008e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8.301704406738e+01,8.297270202637e+01,6.585591125488e+01,5.698594970703e+02,5.624664306641e+02,4.015462341309e+02,1.350470123291e+02,1.408522705078e+03,-7.540030637756e-04,1.313371558354e-05,4.974903583527e+00,1.994360923767e+01,4.045979082584e-01,2.559637308121e+00,6.420690307617e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3.875037002563e+01,4.237705230713e+01,3.625573730469e+01,2.416724853516e+02,2.675413513184e+02,2.855152282715e+02,6.835296630859e+01,7.340812377930e+02,4.617079321179e-05,1.767121648300e-05,3.120261669159e+00,2.392294883728e+01,2.761102914810e-01,2.582648515701e+00,6.527175292969e+02,6.581678055227e-03,8.435702882707e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
