9.204059600830e+01,1.132923583984e+02,1.621745758057e+02,2.793524169922e+02,2.511325073242e+02,3.477294616699e+02,2.183770294189e+02,8.015075073242e+02,1.099761357182e-05,6.498545417344e-07,1.403684973717e+00,2.742900609970e+00,7.756242156029e-02,2.543087482452e+00,6.393602905273e+02,6.359438877553e-03,6.318997126073e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9.873953247070e+01,1.199683609009e+02,1.715671234131e+02,3.350700073242e+02,3.294518432617e+02,4.731372070312e+02,2.315724029541e+02,1.091075439453e+03,-8.628021168988e-05,2.570325534634e-07,1.987677574158e+00,3.810757160187e+00,1.378900855780e-01,2.199494600296e+00,5.549749755859e+02,7.910656183958e-02,1.079813912511e-01
1.401808166504e+02,1.623273315430e+02,2.189726867676e+02,3.378923645020e+02,3.931210937500e+02,5.484503784180e+02,3.066206665039e+02,1.215268432617e+03,-1.079602443497e-04,1.537758748782e-06,1.555952787399e+00,1.693306922913e+00,4.750118404627e-02,2.396924972534e+00,6.033588867188e+02,7.859060540795e-03,7.797287311405e-03
1.738395538330e+02,1.955388183594e+02,2.446167144775e+02,2.681373596191e+02,2.301744995117e+02,1.075676651001e+02,3.583826904297e+02,4.474744567871e+02,-1.364302734146e-04,4.494222594076e-06,2.055422067642e+00,2.182956457138e+00,8.898431062698e-02,1.935485959053e+00,4.893057861328e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.373645019531e+02,2.472917785645e+02,2.518632049561e+02,2.418623046875e+02,1.037060623169e+02,2.029414921999e-01,4.255254821777e+02,2.020645294189e+02,3.093179257121e-04,1.442248418471e-07,3.116154193878e+00,4.022147655487e+00,-3.622947633266e-01,1.963778018951e+00,5.027173767090e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.285935821533e+02,2.438544311523e+02,2.518851318359e+02,4.314476318359e+02,1.485574035645e+02,5.077046751976e-01,4.188493347168e+02,3.245079345703e+02,-1.770218477759e-05,4.917346245747e-07,1.676096677780e+00,1.996309399605e+00,-5.384441465139e-02,6.997229099274e+00,1.735051025391e+03,0.000000000000e+00,0.000000000000e+00
2.222655792236e+02,2.413014984131e+02,2.519192657471e+02,6.142053833008e+02,1.859719238281e+02,8.505878597498e-02,4.140830993652e+02,4.389866333008e+02,-9.297454380430e-05,3.381927911050e-07,1.199400186539e+00,1.510618209839e+00,2.534086257219e-02,2.750664138794e+01,6.257643066406e+03,5.021728575230e-03,4.996513016522e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
