2.490311431885e+02,2.520335235596e+02,2.458192443848e+02,1.715441131592e+02,9.235962677002e+01,2.884999694824e+02,4.313658752441e+02,4.484705200195e+02,2.290832053404e-04,5.331500688044e-06,1.233913660049e+00,1.046748065948e+01,-1.446847617626e-01,3.183615803719e-01,7.996141052246e+01,0.000000000000e+00,0.000000000000e+00
2.520000000000e+02,2.540000000000e+02,2.500000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.364991149902e+02,0.000000000000e+00,1.909986790038e-13,1.151147106101e-22,2.989119820995e-06,0.000000000000e+00,6.439293542826e-15,-1.036612533267e-29,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
2.520000000000e+02,2.540000000000e+02,2.500000000000e+02,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,4.364992370605e+02,0.000000000000e+00,2.153575651143e-10,1.245067625803e-17,2.988932237713e-06,0.000000000000e+00,6.439293542826e-15,-1.036612533267e-29,0.000000000000e+00,2.455518953502e-02,2.395226620138e-02
2.429029235840e+02,2.469693145752e+02,2.406886138916e+02,6.259744262695e+02,4.438117980957e+02,6.647812500000e+02,4.219957885742e+02,1.588593627930e+03,9.423280425835e-05,3.112998092547e-05,2.520560264587e+00,1.504514026642e+01,-2.194535881281e-01,8.106765151024e-01,2.067795715332e+02,3.246551752090e-01,2.192537486553e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.184844970703e+02,1.351816711426e+02,9.780548095703e+01,7.173236694336e+02,7.839604492188e+02,6.436424560547e+02,2.051534729004e+02,1.933430053711e+03,3.338243986946e-04,7.154254853958e-05,3.922167062759e+00,1.031299400330e+01,9.657777100801e-02,2.815684556961e+00,6.993215942383e+02,6.696597337723e-01,5.705540776253e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6.531262207031e+01,7.432981872559e+01,5.896976470947e+01,5.512096557617e+02,6.430731811523e+02,4.037899475098e+02,1.156334457397e+02,1.495620483398e+03,-1.053247367963e-03,6.296846549958e-05,3.386832714081e+00,4.492973327637e+00,3.120275437832e-01,3.270790338516e+00,8.189698486328e+02,8.167822360992e-01,3.976377546787e-01
1.004347839355e+02,1.188819885254e+02,8.020497131348e+01,7.491649627686e+01,6.272519683838e+01,2.022504806519e+01,1.751792297363e+02,1.229627304077e+02,1.641981187277e-03,7.216373887786e-06,1.465351223946e+00,1.049101352692e+00,-3.364903330803e-01,4.749995231628e+00,1.188822143555e+03,1.111801266670e+00,7.825314998627e-01
8.576712036133e+01,9.709589385986e+01,6.917808532715e+01,7.231559753418e+01,5.307304000854e+01,2.592720794678e+01,1.469954986572e+02,1.128585205078e+02,-6.004882161506e-04,6.095952358010e-06,6.658093333244e-01,5.984676629305e-02,1.248667296022e-02,6.975036144257e+00,1.732561767578e+03,1.191780805588e+00,9.495216012001e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.069278335571e+02,1.273969039917e+02,1.582731933594e+02,5.990153808594e+02,7.471052856445e+02,1.872384399414e+03,2.314087066650e+02,2.382481201172e+03,6.088624242693e-03,6.992666749284e-05,7.472157478333e+00,5.468593120575e+00,-9.613844156265e-01,1.365996837616e+00,3.387821044922e+02,6.494845151901e-01,2.276543825865e-01
1.686982727051e+02,1.941896514893e+02,1.712155151367e+02,1.793297363281e+03,1.603171020508e+03,2.891687011719e+03,3.100278015137e+02,5.654494628906e+03,1.305489614606e-02,2.302692155354e-04,8.051433563232e+00,4.327118396759e+00,-2.049720525742e+00,5.620893955231e+00,1.635503784180e+03,5.948275923729e-01,5.858351588249e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7.825468444824e+01,8.677378845215e+01,7.601203918457e+01,1.729790893555e+03,1.718870971680e+03,1.679230346680e+03,1.406589050293e+02,4.774427734375e+03,2.506819320843e-03,2.030767500401e-04,4.543897628784e+00,7.804974555969e+00,-1.659035831690e-01,2.874872922897e+00,7.270685424805e+02,3.312048614025e-01,3.196972012520e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8.493137359619e+01,9.894117736816e+01,7.611764526367e+01,6.588737487793e+01,9.111413574219e+01,1.679076995850e+02,1.513788452148e+02,2.059473419189e+02,-2.611218020320e-03,1.742777567415e-05,3.196662187576e+00,3.266034841537e+00,8.403933644295e-01,2.433844804764e+00,6.296523437500e+02,5.000000000000e-01,2.499999254942e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
