2.513748016357e+02,2.531721801758e+02,2.510573730469e+02,2.312462806702e+01,3.197140121460e+01,4.140952301025e+01,4.362679443359e+02,8.435720825195e+01,1.527773019916e-05,7.054634920678e-08,6.373679041862e-01,5.182281970978e+00,-8.350686728954e-02,2.643490433693e-01,6.722984313965e+01,1.153249014169e-02,1.139947958291e-02
2.507483215332e+02,2.521437225342e+02,2.499633789062e+02,4.811168289185e+01,8.603118133545e+01,9.994931793213e+01,4.346886901855e+02,2.112232360840e+02,-2.594942088763e-05,8.889277523849e-06,8.834450244904e-01,7.017594337463e+00,-1.076602861285e-01,5.516957640648e-01,1.410650634766e+02,1.052188570611e-03,1.051072496921e-03
2.507942810059e+02,2.529750518799e+02,2.511260528564e+02,5.851697921753e+01,4.566264724731e+01,4.055337905884e+01,4.358634948730e+02,1.278593978882e+02,7.521983934566e-05,3.668998260764e-07,9.424182176590e-01,9.381581306458e+00,-1.380449384451e-01,2.438575476408e-01,6.199307632446e+01,0.000000000000e+00,0.000000000000e+00
2.488995513916e+02,2.510902404785e+02,2.491808929443e+02,2.792075500488e+02,2.593735046387e+02,2.718384094238e+02,4.325921020508e+02,7.820148315430e+02,1.758371945471e-05,4.909270501230e-07,1.412027120590e+00,1.756829643250e+01,-1.403871029615e-01,1.980140209198e-01,4.848046112061e+01,0.000000000000e+00,0.000000000000e+00
2.503219757080e+02,2.526667022705e+02,2.508725128174e+02,1.372503662109e+02,1.028097915649e+02,7.741583251953e+01,4.353034667969e+02,2.987520141602e+02,3.971567639383e-05,1.357130940960e-07,1.747577309608e+00,2.669817352295e+01,-2.562810182571e-01,2.587464153767e-01,6.634050750732e+01,0.000000000000e+00,0.000000000000e+00
2.491214141846e+02,2.527577362061e+02,2.510488739014e+02,1.492073516846e+02,7.321048736572e+01,5.005944442749e+01,4.348038635254e+02,2.317011566162e+02,5.683676499757e-05,2.597687966954e-07,2.495232343674e+00,3.690532302856e+01,-3.722744286060e-01,1.663566708565e+00,4.195684814453e+02,5.063291173428e-03,1.010096725076e-02
6.487787628174e+01,6.723411560059e+01,6.171826171875e+01,4.971206054688e+02,4.197337951660e+02,4.527590637207e+02,1.123550033569e+02,1.284594482422e+03,-7.530406583101e-04,2.952322756755e-05,5.042616844177e+00,3.565532302856e+01,5.451993942261e-01,2.449402809143e+00,6.219823608398e+02,3.124112449586e-02,3.026509098709e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
