2.436687774658e+02,2.478977661133e+02,2.408239593506e+02,5.005615539551e+02,3.063462219238e+02,7.740482177734e+02,4.231185913086e+02,1.402869628906e+03,1.496912154835e-04,1.932587565534e-06,2.758520841599e+00,2.123895072937e+01,-2.248328626156e-01,6.520159840584e-01,1.656012725830e+02,4.850704967976e-02,4.615405946970e-02
2.483267364502e+02,2.510438079834e+02,2.475758972168e+02,2.206401977539e+02,1.630151672363e+02,2.891954345703e+02,4.313583984375e+02,5.987396240234e+02,-1.976002931769e-05,3.592480425141e-06,1.520899057388e+00,1.200891494751e+01,-1.628348380327e-01,7.507032752037e-01,1.926066131592e+02,1.523925689980e-03,1.521570375189e-03
2.465694122314e+02,2.495457305908e+02,2.479309539795e+02,4.871806945801e+02,3.503888244629e+02,2.900157165527e+02,4.296834716797e+02,1.057264404297e+03,4.509350401349e-05,9.040237358704e-08,1.815371036530e+00,2.100883483887e+01,-1.790424436331e-01,3.546405434608e-01,9.185756683350e+01,2.280770801008e-03,2.275576815009e-03
2.504132995605e+02,2.528773956299e+02,2.507546081543e+02,9.537808990479e+01,5.505704879761e+01,6.971669769287e+01,4.354212646484e+02,2.006384277344e+02,9.050658991328e-05,4.034926917029e-07,1.493669033051e+00,1.699887084961e+01,-2.227945327759e-01,2.599515020847e-01,6.483766937256e+01,6.373866926879e-03,6.333263125271e-03
2.460527191162e+02,2.495094451904e+02,2.480320587158e+02,4.936722106934e+02,3.543082885742e+02,3.160569458008e+02,4.294442749023e+02,1.087500976562e+03,1.276234106626e-04,3.043088099730e-06,3.035659790039e+00,2.807225608826e+01,-3.588677644730e-01,7.996130585670e-01,2.052183074951e+02,1.355975121260e-02,2.579501084983e-02
9.470591735840e+01,1.056567535400e+02,9.068376922607e+01,7.023482055664e+02,8.432746582031e+02,6.725235595703e+02,1.687978820801e+02,2.081695068359e+03,-1.149816671386e-03,3.971912155976e-05,4.738090515137e+00,1.596526050568e+01,4.598696529865e-01,2.785792827606e+00,6.994107666016e+02,3.661071136594e-02,3.543023020029e-02
7.787216949463e+01,8.676612854004e+01,7.418891906738e+01,6.024705810547e+02,7.286485595703e+02,5.349891967773e+02,1.384071807861e+02,1.806868652344e+03,2.146016049664e-04,2.699709148146e-05,2.849420785904e+00,8.997119903564e+00,1.499042212963e-01,3.061570882797e+00,7.721412963867e+02,3.275019526482e-01,2.202446907759e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
