5.647666549683e+01,6.359910202026e+01,5.991641616821e+01,1.294421997070e+03,1.380378906250e+03,1.220120849609e+03,1.044500122070e+02,3.809627929688e+03,-2.372038288740e-04,3.384731826372e-05,4.670516967773e+00,1.759628868103e+01,3.944881260395e-01,2.433933019638e+00,6.034159545898e+02,4.230322837830e-01,2.559947073460e-01
1.520254058838e+02,1.688863983154e+02,1.428626861572e+02,2.899208496094e+03,2.595093994141e+03,3.419169189453e+03,2.693326721191e+02,8.415747070312e+03,1.610365347005e-03,8.187168714358e-05,6.144442558289e+00,1.704268836975e+01,-2.869775593281e-01,3.055081605911e+00,7.692180175781e+02,3.218157216907e-02,3.114593215287e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8.852173614502e+01,9.333333587646e+01,8.087319183350e+01,2.534307861328e+02,1.990700225830e+02,2.173425598145e+02,1.525749206543e+02,4.784032592773e+02,-3.961667418480e-03,2.805882468238e-05,2.897666215897e+00,1.554179787636e+00,6.229116916656e-01,2.729393005371e+00,6.991398925781e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.900076293945e+02,2.095496215820e+02,1.849847259521e+02,1.186023193359e+03,1.331727539062e+03,1.505526733398e+03,3.387463989258e+02,3.507453125000e+03,6.170317064971e-03,2.195209817728e-04,4.558862686157e+00,7.580642700195e+00,-1.053150296211e+00,3.543074369431e+00,9.735292358398e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.833034820557e+02,1.988269042969e+02,1.677912139893e+02,2.175982910156e+03,1.697686523438e+03,2.703797607422e+03,3.191211242676e+02,6.030595703125e+03,1.234668889083e-03,6.455466791522e-05,6.461165428162e+00,1.652400970459e+01,-2.712554931641e-01,2.539679765701e+00,6.422245483398e+02,1.152790524065e-02,1.139500737190e-02
2.496194305420e+02,2.520195617676e+02,2.485789031982e+02,1.177426452637e+02,8.846045684814e+01,1.446221008301e+02,4.331484069824e+02,3.105121154785e+02,9.679176582722e-05,2.959980747619e-06,1.412419438362e+00,8.861308097839e+00,-2.330145686865e-01,6.322875022888e-01,1.555406188965e+02,7.734626065940e-03,7.674783468246e-03
2.433569946289e+02,2.468033294678e+02,2.433108520508e+02,9.305560302734e+02,7.146423950195e+02,7.749235839844e+02,4.235817260742e+02,2.296926269531e+03,-1.023055447149e-04,8.918797902879e-06,2.256489038467e+00,2.297147369385e+01,-1.757515370846e-01,5.095775127411e-01,1.291748962402e+02,1.341160386801e-01,2.426054179668e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
