1.119015121460e+02,1.337272796631e+02,1.103409118652e+02,1.816707641602e+03,1.682576782227e+03,1.982739379883e+03,2.073137969971e+02,5.083076171875e+03,2.281856490299e-03,7.824651402188e-05,6.984476566315e+00,6.598062038422e+00,-9.967125654221e-01,3.619674921036e+00,9.644899291992e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
6.276946640015e+01,7.017179107666e+01,5.968564605713e+01,9.007773437500e+02,9.972517089844e+02,5.689122924805e+02,1.120077285767e+02,2.347924316406e+03,-1.549992593937e-03,1.200623519253e-04,4.435028076172e+00,1.122895717621e+01,5.072463750839e-01,2.863252639771e+00,7.078191528320e+02,4.868717789650e-01,2.498277574778e-01
1.179109802246e+02,1.343044433594e+02,1.147897033691e+02,1.869451904297e+03,1.735624267578e+03,2.378768066406e+03,2.134316406250e+02,5.548730468750e+03,4.666213877499e-03,3.515985154081e-04,5.139412879944e+00,1.695530319214e+01,-4.038273394108e-01,2.731578588486e+00,7.223997192383e+02,5.782915949821e-01,2.438709139824e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.157267761230e+02,1.346947631836e+02,9.918594360352e+01,7.443908691406e+02,8.613708496094e+02,5.584870605469e+02,2.038101959229e+02,1.999774047852e+03,-4.117723146919e-04,7.216800440801e-05,3.457640409470e+00,6.044239521027e+00,8.244596421719e-02,2.809382200241e+00,7.053479003906e+02,3.414059281349e-01,2.248474806547e-01
