1.774585266113e+02,2.167718353271e+02,2.431334991455e+02,8.540873413086e+02,9.223527221680e+02,7.428228149414e+02,3.714874572754e+02,2.115703369141e+03,3.861516306642e-04,1.717140435176e-06,4.336679458618e+00,4.340558242798e+01,-4.274712502956e-01,2.461747169495e+00,6.229520263672e+02,0.000000000000e+00,0.000000000000e+00
2.301979980469e+02,2.484950408936e+02,2.487687530518e+02,4.220567016602e+02,2.120564575195e+02,1.833533325195e+02,4.204980468750e+02,5.865144042969e+02,1.000653574010e-04,5.911221705901e-06,2.832594394684e+00,2.421616363525e+01,-2.880689799786e-01,2.384137153625e+00,5.985986328125e+02,3.477658331394e-02,6.834380328655e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.350768432617e+02,2.461405639648e+02,2.463297271729e+02,4.690401916504e+02,3.730944824219e+02,3.376293945312e+02,4.204216918945e+02,9.142844238281e+02,3.468383511063e-04,1.611391417100e-05,3.960879564285e+00,3.240984725952e+01,-4.549246430397e-01,1.997832179070e+00,5.036385498047e+02,9.651363641024e-02,1.284825801849e-01
2.380224761963e+02,2.442209320068e+02,2.440550537109e+02,5.472437744141e+02,5.175048217773e+02,4.301276550293e+02,4.196106262207e+02,1.282955810547e+03,8.293550927192e-04,1.538961623737e-05,6.685828208923e+00,4.291740036011e+01,-8.230910897255e-01,2.487066268921e+00,5.878646850586e+02,4.540308713913e-01,3.851082921028e-01
9.405555725098e+01,9.226851654053e+01,1.126080245972e+02,6.193117065430e+02,8.910729370117e+02,1.347732299805e+03,1.744214477539e+02,2.475801757812e+03,-5.916858091950e-03,6.540610684169e-06,3.360743284225e+00,3.663137912750e+00,3.104236841202e+00,7.143944263458e+00,1.760449218750e+03,0.000000000000e+00,0.000000000000e+00
2.440150604248e+02,2.488132019043e+02,2.484382019043e+02,2.970627746582e+02,1.436806182861e+02,6.854576110840e+01,4.281164245605e+02,3.977868041992e+02,2.407884312561e-04,1.658752353251e-06,3.031505346298e+00,1.731216430664e+01,-3.305159509182e-01,1.619469404221e+00,4.182389831543e+02,9.453781694174e-02,1.738355159760e-01
2.194569549561e+02,2.431814117432e+02,2.483182678223e+02,4.704103698730e+02,2.791627197266e+02,1.412617340088e+02,4.113242797852e+02,6.602147827148e+02,-1.786565553630e-05,4.225939392200e-06,3.391648292542e+00,2.451152992249e+01,-2.783895432949e-01,2.235245704651e+00,5.620009155273e+02,4.262366592884e-01,6.660017967224e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
4.345788574219e+01,4.937675857544e+01,4.907814407349e+01,2.810778198242e+02,3.865928649902e+02,4.904341430664e+02,8.244403839111e+01,1.096204467773e+03,-6.726679275744e-04,8.776405593380e-06,4.395939350128e+00,2.973964881897e+01,5.836668014526e-01,2.249917507172e+00,5.689880371094e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5.271407699585e+01,4.726938629150e+01,5.548438262939e+01,1.596883178711e+03,1.272817382812e+03,1.414436401367e+03,9.150759887695e+01,4.002040771484e+03,-4.990881308913e-03,1.743989996612e-04,1.306016826630e+01,6.254415893555e+01,2.621580600739e+00,1.468913793564e+00,5.520879516602e+02,9.992649555206e-01,7.344844634645e-04
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
