1.705583953857e+02,1.842704620361e+02,2.158616485596e+02,1.552192382812e+03,1.155487915039e+03,7.548597412109e+02,3.317159423828e+02,3.069704833984e+03,7.302330923267e-04,1.117398096540e-05,3.561585187912e+00,7.715504646301e+00,-1.301099956036e-01,2.221739768982e+00,5.632432861328e+02,2.656168863177e-02,3.191256895661e-02
1.706461181641e+02,1.861946258545e+02,2.271582031250e+02,4.891996459961e+02,4.306765747070e+02,6.233877563477e+02,3.399207153320e+02,1.383904541016e+03,-5.395659827627e-04,8.081578016572e-06,4.867636203766e+00,1.710927963257e+01,-1.091744843870e-02,2.373353242874e+00,5.797710571289e+02,9.573847055435e-03,1.742142625153e-02
2.059731445312e+02,2.201996765137e+02,2.454476928711e+02,7.604089965820e+02,4.717218933105e+02,2.198128509521e+02,3.892719726562e+02,1.071250854492e+03,1.025396049954e-03,8.971669558377e-06,5.265572071075e+00,2.503507614136e+01,-5.533503890038e-01,2.002688407898e+00,5.131766357422e+02,1.511535421014e-02,1.488688495010e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9.289259338379e+01,1.000481491089e+02,1.278925933838e+02,1.719037353516e+03,2.473926513672e+03,4.035740722656e+03,1.876247558594e+02,8.020844238281e+03,-3.507181070745e-03,3.905954145011e-06,7.759651660919e+00,1.236755847931e+01,3.170870780945e+00,3.788621902466e+00,9.473904418945e+02,0.000000000000e+00,0.000000000000e+00
1.867872161865e+02,2.080415191650e+02,2.387934417725e+02,7.128666992188e+02,6.225043334961e+02,6.178766479492e+02,3.681034545898e+02,1.641787109375e+03,2.870627504308e-04,2.540336390666e-05,5.708865642548e+00,2.454977798462e+01,-3.458379209042e-01,2.054172515869e+00,5.224224853516e+02,2.161096185446e-01,1.694066524506e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.165270538330e+02,2.320840759277e+02,2.436576080322e+02,8.320556640625e+02,6.885142822266e+02,4.903325805664e+02,4.005248107910e+02,1.700230957031e+03,1.768114889273e-04,2.448409395583e-05,4.080291271210e+00,1.856448554993e+01,-2.745571732521e-01,2.155730247498e+00,5.534700927734e+02,1.941024959087e-01,2.612073719501e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
