2.336032409668e+02,2.475078430176e+02,2.499255981445e+02,6.109467773438e+02,3.269087829590e+02,2.108445281982e+02,4.225595092773e+02,9.017838134766e+02,-9.184567898046e-05,2.704304961298e-06,2.859707832336e+00,2.881350326538e+01,-2.137190997601e-01,1.909830927849e+00,4.819427490234e+02,0.000000000000e+00,0.000000000000e+00
2.497307739258e+02,2.522861328125e+02,2.505110168457e+02,2.572920837402e+02,2.120182800293e+02,1.753939666748e+02,4.345063781738e+02,6.224016113281e+02,4.410461406223e-05,1.635368818143e-07,1.651936531067e+00,2.898042106628e+01,-2.211546003819e-01,3.836640715599e-01,9.761583709717e+01,0.000000000000e+00,0.000000000000e+00
2.498703308105e+02,2.521045684814e+02,2.502109069824e+02,2.347829132080e+02,2.072908935547e+02,1.927808227539e+02,4.343035888672e+02,6.140785522461e+02,4.055866884300e-05,4.036452878609e-07,1.577966928482e+00,2.614224433899e+01,-2.154017537832e-01,4.927490353584e-01,1.292893371582e+02,0.000000000000e+00,0.000000000000e+00
2.503938598633e+02,2.525060882568e+02,2.506536254883e+02,1.513772277832e+02,1.388833465576e+02,1.165333328247e+02,4.351026611328e+02,3.915833129883e+02,5.699267785531e-05,1.405374092656e-07,1.520931601524e+00,2.376755142212e+01,-2.092411667109e-01,2.773324549198e-01,7.002379608154e+01,3.149606287479e-03,3.139687236398e-03
2.506170043945e+02,2.526882019043e+02,2.508975067139e+02,9.253470611572e+01,9.158043670654e+01,8.000728607178e+01,4.355083312988e+02,2.416131896973e+02,3.906186975655e-05,1.566263904351e-06,1.457359552383e+00,1.885102653503e+01,-2.131700068712e-01,2.786618471146e-01,6.849359893799e+01,1.244138227776e-03,1.242590718903e-03
2.509573364258e+02,2.531435394287e+02,2.513976440430e+02,5.461375808716e+01,4.251902008057e+01,2.459022521973e+01,4.362496948242e+02,1.102391586304e+02,3.731555989361e-05,6.455127277150e-08,1.208575844765e+00,1.243753719330e+01,-1.870889067650e-01,3.524689972401e-01,8.994636535645e+01,2.385666221380e-02,4.605558887124e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.158988113403e+02,1.064764404297e+02,1.013985595703e+02,4.089449157715e+02,4.348837585449e+02,8.190985717773e+02,1.879192047119e+02,1.400923461914e+03,7.607366424054e-04,3.217444464099e-05,4.173591613770e+00,1.717308998108e+01,2.420336902142e-01,2.639251232147e+00,6.681493530273e+02,1.849037408829e-02,3.663886711001e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
