2.483478393555e+02,2.512038269043e+02,2.484733276367e+02,2.839346313477e+02,1.869607238770e+02,1.613545379639e+02,4.319122314453e+02,5.628278198242e+02,2.260544897581e-05,1.097714857679e-06,1.300511598587e+00,1.166070365906e+01,-1.145594939590e-01,3.361597657204e-01,8.585448455811e+01,7.935341447592e-03,7.872310467064e-03
2.488673400879e+02,2.516065826416e+02,2.482229461670e+02,2.150610198975e+02,1.391990661621e+02,1.969167633057e+02,4.322794799805e+02,4.996166992188e+02,1.092207967304e-04,2.909473323598e-06,1.379661798477e+00,1.372866535187e+01,-1.360038667917e-01,3.572867214680e-01,8.525090026855e+01,1.560345478356e-02,1.536003127694e-02
2.505116119385e+02,2.530958251953e+02,2.495740661621e+02,9.194966125488e+01,4.130355834961e+01,1.017755126953e+02,4.348502197266e+02,1.999844207764e+02,4.035056917928e-05,2.858189134258e-07,1.389031648636e+00,1.596825122833e+01,-1.975422799587e-01,2.483275383711e-01,6.325648117065e+01,0.000000000000e+00,0.000000000000e+00
2.498724517822e+02,2.524968566895e+02,2.495460968018e+02,2.043515472412e+02,1.377160949707e+02,1.439491577148e+02,4.341155395508e+02,4.543368835449e+02,7.575663039461e-05,3.971100852596e-07,1.853957414627e+00,2.619400024414e+01,-2.785900235176e-01,3.028609752655e-01,8.039707946777e+01,3.535755386110e-04,3.534517891239e-04
2.458609008789e+02,2.504310760498e+02,2.456023864746e+02,4.130993347168e+02,1.968719940186e+02,3.655854797363e+02,4.284981994629e+02,8.203258056641e+02,2.039216051344e-04,1.910005039463e-06,3.005255222321e+00,2.740797233582e+01,-3.703522980213e-01,5.283080339432e-01,1.369090423584e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9.966597747803e+01,1.183995437622e+02,8.213641357422e+01,7.829684448242e+02,9.694528198242e+02,6.931199951172e+02,1.757627563477e+02,2.251506591797e+03,7.352747343248e-05,6.754091009498e-05,7.382681369781e+00,3.190767288208e+01,3.754582405090e-01,2.215589761734e+00,5.580173339844e+02,1.702039986849e-01,1.412347257137e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
