2.003953704834e+02,2.428673858643e+02,2.480370941162e+02,5.536337280273e+02,3.650670471191e+02,3.279555358887e+02,4.011550292969e+02,9.990307006836e+02,6.301924586296e-04,8.720754522074e-06,4.534486770630e+00,4.700758361816e+01,-5.652152299881e-01,2.035434484482e+00,5.126606445312e+02,4.190525785089e-02,4.873852059245e-02
2.009850769043e+02,2.399604034424e+02,2.477089843750e+02,1.076272827148e+03,4.943355102539e+02,3.938509521484e+02,3.999059448242e+02,1.387426757812e+03,9.462246671319e-04,1.203561532748e-05,5.557692050934e+00,4.890385818481e+01,-6.332701444626e-01,1.884927392006e+00,4.861438903809e+02,5.983904376626e-02,6.015245243907e-02
1.091151199341e+02,1.205945053101e+02,1.153281784058e+02,9.483783569336e+02,1.567512207031e+03,2.713381591797e+03,2.008522949219e+02,4.637270507812e+03,1.640766742639e-03,1.381426700391e-04,7.497154235840e+00,1.742676162720e+01,-2.040945179760e-02,3.243197917938e+00,8.802820434570e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
8.067225646973e+01,8.609925842285e+01,6.435300445557e+01,8.022209472656e+02,9.070458984375e+02,1.036672485352e+03,1.349176788330e+02,2.605757324219e+03,2.145691076294e-03,7.273368100869e-05,3.191190958023e+00,8.728055953979e+00,-3.266280889511e-01,3.020084142685e+00,7.657808837891e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
3.789411926270e+01,3.990784454346e+01,3.120784378052e+01,9.572214508057e+01,8.239736175537e+01,5.616464233398e+01,6.351538848877e+01,2.026242828369e+02,-3.023331519216e-03,1.893124317576e-05,2.428041934967e+00,1.656080722809e+00,5.585602521896e-01,2.992133617401e+00,7.557430419922e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
5.423820495605e+01,6.124298095703e+01,4.554050827026e+01,2.864579467773e+02,3.289371032715e+02,2.815873413086e+02,9.392917633057e+01,8.405728149414e+02,3.267013817094e-04,1.151700780611e-05,2.334912300110e+00,3.208591461182e+00,-2.756779640913e-02,2.602389812469e+00,6.542067871094e+02,3.034440800548e-03,3.025268903002e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
