1.895338134766e+02,2.005625610352e+02,2.271638336182e+02,1.198805908203e+03,9.417959594727e+02,7.578217773438e+02,3.580047607422e+02,2.478369140625e+03,9.237413178198e-04,1.080011406884e-05,6.331454277039e+00,3.442905044556e+01,-6.700466275215e-01,2.141537427902e+00,5.192396240234e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.619491271973e+02,1.806187133789e+02,2.270693969727e+02,3.077984924316e+02,2.652358703613e+02,3.177337341309e+02,3.324716186523e+02,7.689868774414e+02,-2.993045782205e-04,1.163115666714e-05,3.482540369034e+00,7.726558685303e+00,7.768788933754e-02,2.618609905243e+00,6.446529541016e+02,1.219933293760e-02,1.205052156001e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.942220764160e+02,2.084286804199e+02,2.402279663086e+02,9.259445800781e+02,7.493856811523e+02,5.276969604492e+02,3.731596374512e+02,1.827950073242e+03,2.100377023453e-04,2.478037640685e-05,5.489857196808e+00,2.656739807129e+01,-3.118655085564e-01,2.206447601318e+00,5.518432006836e+02,1.619731262326e-02,2.292929962277e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.829729156494e+02,2.024199676514e+02,2.337787475586e+02,1.329128173828e+03,1.253250854492e+03,1.385761230469e+03,3.597593383789e+02,3.644759277344e+03,-2.636939461809e-04,4.336256824899e-05,5.873063087463e+00,3.569676971436e+01,-2.467104643583e-01,2.402499437332e+00,6.039978637695e+02,2.548778057098e-01,1.927565932274e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.070191650391e+02,2.241323242188e+02,2.480231170654e+02,7.361516113281e+02,4.982484436035e+02,1.536498870850e+02,3.936562194824e+02,1.020667297363e+03,5.369459977373e-04,7.267777164088e-06,3.968690872192e+00,2.543088340759e+01,-3.326084017754e-01,2.097492694855e+00,5.297144165039e+02,1.256435513496e-01,2.055961042643e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.385938568115e+02,2.431913299561e+02,2.504314117432e+02,1.736132354736e+02,1.335120544434e+02,2.815497207642e+01,4.229487609863e+02,2.345256805420e+02,3.562791040167e-03,3.147912138957e-05,3.688180685043e+00,2.837148666382e+00,-6.977041363716e-01,1.323685288429e+00,3.499707336426e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
