3.315557479858e+01,3.761111831665e+01,3.773348236084e+01,2.047701873779e+02,2.704173889160e+02,4.321900329590e+02,6.306269073486e+01,8.677990722656e+02,-5.797828198411e-04,5.552190486924e-06,3.537457466125e+00,1.954470825195e+01,4.447517991066e-01,2.083132505417e+00,5.260366210938e+02,0.000000000000e+00,0.000000000000e+00
1.404564666748e+02,1.680052642822e+02,2.283108367920e+02,4.941870422363e+02,4.639401550293e+02,7.453720703125e+02,3.165741882324e+02,1.551932373047e+03,3.385475429241e-04,2.376162683504e-06,3.354592323303e+00,2.820405960083e+01,-3.522620499134e-01,2.354399442673e+00,5.955495605469e+02,0.000000000000e+00,0.000000000000e+00
1.712863006592e+02,1.940096588135e+02,2.444976196289e+02,2.959357910156e+02,2.750214233398e+02,2.633449707031e+02,3.562904052734e+02,6.351465454102e+02,-2.990353095811e-05,7.470842774637e-06,2.136688709259e+00,8.321891784668e+00,-7.026481628418e-02,2.346918582916e+00,5.850348510742e+02,4.105444997549e-03,4.088602028787e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.798419342041e+02,1.964061737061e+02,2.398417510986e+02,3.838253173828e+02,3.638527832031e+02,4.182082519531e+02,3.586730651855e+02,9.645701904297e+02,-2.872168843169e-04,1.503971816419e-05,3.872941493988e+00,1.028735828400e+01,6.064413115382e-03,2.509424686432e+00,6.110683593750e+02,2.759572351351e-03,2.751947846264e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.649467620850e+02,1.838973083496e+02,2.309537048340e+02,5.507527465820e+02,4.942312927246e+02,7.414932250977e+02,3.385595703125e+02,1.525865112305e+03,1.051985527738e-04,3.065576311201e-05,3.505760669708e+00,1.523167705536e+01,-7.601623237133e-02,2.570722579956e+00,6.438769531250e+02,1.703703776002e-02,1.674669794738e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
