2.445372467041e+02,2.486588897705e+02,2.450728607178e+02,5.144586791992e+02,2.919177551270e+02,3.625308227539e+02,4.263563537598e+02,1.042894775391e+03,8.267457451439e-05,5.413921371655e-06,1.331543803215e+00,7.652369976044e+00,-8.948022872210e-02,6.251572370529e-01,1.558641510010e+02,1.223317608237e-01,1.073666140437e-01
2.477064666748e+02,2.508152618408e+02,2.484125366211e+02,3.920765686035e+02,2.235206604004e+02,1.303112487793e+02,4.313563842773e+02,6.151662597656e+02,-1.040337974700e-05,9.047213325175e-07,1.087996602058e+00,5.889197349548e+00,-6.737443804741e-02,4.629637300968e-01,1.184866638184e+02,4.093433916569e-02,3.925873339176e-02
2.491228027344e+02,2.520146789551e+02,2.496280059814e+02,2.628568725586e+02,1.441067352295e+02,7.611721038818e+01,4.335149536133e+02,3.971849670410e+02,-3.241029480705e-05,1.001387317956e-06,9.285038709641e-01,7.454362869263e+00,-8.537521958351e-02,2.787046730518e-01,6.977973175049e+01,4.538131132722e-02,4.332187771797e-02
2.513941802979e+02,2.536990814209e+02,2.508163299561e+02,3.043143272400e+01,1.022943687439e+01,4.638322830200e+00,4.363987121582e+02,3.520874404907e+01,9.626803148421e-06,7.185475325855e-09,1.098921298981e+00,1.069984149933e+01,-1.747381240129e-01,2.664215862751e-01,6.803672790527e+01,3.971081227064e-02,3.813384845853e-02
2.504616241455e+02,2.529820404053e+02,2.502291107178e+02,1.179718475342e+02,6.083633804321e+01,3.595705795288e+01,4.351347656250e+02,1.833088073730e+02,1.298943971051e-05,8.940304496718e-09,1.311999201775e+00,1.376824092865e+01,-1.944911628962e-01,3.334540426731e-01,8.339526367188e+01,2.333177835681e-04,2.332632575417e-04
2.386169738770e+02,2.440024871826e+02,2.379313354492e+02,1.191533447266e+03,7.556517944336e+02,1.256092407227e+03,4.162946166992e+02,2.962806640625e+03,-7.542797538918e-05,6.248887984839e-06,1.907670497894e+00,1.193811035156e+01,-6.914003938437e-02,8.485782146454e-01,2.151782379150e+02,6.889600306749e-02,6.414939463139e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.523774261475e+02,1.741234741211e+02,1.256873626709e+02,1.099359863281e+03,1.153068603516e+03,8.498084716797e+02,2.638948974609e+02,2.797158203125e+03,1.333957305178e-03,5.326078826329e-05,6.452219009399e+00,9.554028511047e+00,-2.945251762867e-01,3.277024030685e+00,8.115432128906e+02,3.724604845047e-01,2.337338179350e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
