7.195043945312e+01,8.128825378418e+01,6.119292068481e+01,8.245856323242e+02,9.655532836914e+02,3.933463439941e+02,1.249120025635e+02,2.110520019531e+03,-5.885951686651e-04,2.078155193885e-05,4.322254180908e+00,1.801147079468e+01,3.149557709694e-01,2.819180727005e+00,7.149321899414e+02,0.000000000000e+00,0.000000000000e+00
2.453953857422e+02,2.482982330322e+02,2.456074676514e+02,5.308259887695e+02,3.299294128418e+02,3.014226684570e+02,4.269791870117e+02,1.057635742188e+03,3.870977088809e-04,2.621095973154e-06,5.039679050446e+00,5.756827926636e+01,-7.183511853218e-01,9.395009875298e-01,2.466324768066e+02,0.000000000000e+00,0.000000000000e+00
2.493570709229e+02,2.512577972412e+02,2.484925842285e+02,2.038439636230e+02,1.093387374878e+02,8.866110992432e+01,4.325857849121e+02,3.571366577148e+02,9.901107114274e-05,1.990509730376e-07,2.822854042053e+00,3.691635131836e+01,-4.323906004429e-01,4.600210189819e-01,1.254337997437e+02,5.377500783652e-04,5.374624743126e-04
2.493689575195e+02,2.512335968018e+02,2.483639221191e+02,1.986912841797e+02,1.122177200317e+02,9.309954833984e+01,4.324892883301e+02,3.613291625977e+02,9.377057722304e-05,1.145006990555e-06,2.552541971207e+00,3.142345619202e+01,-3.837791979313e-01,5.075443387032e-01,1.256839447021e+02,2.191568957642e-03,2.186776604503e-03
2.273054351807e+02,2.332227172852e+02,2.286093597412e+02,1.777327758789e+03,1.296002807617e+03,1.523033447266e+03,3.983777465820e+02,4.207027343750e+03,7.864703657106e-04,2.144642166968e-05,7.700453758240e+00,5.274927902222e+01,-8.206504583359e-01,1.393177127838e+01,3.354698974609e+03,0.000000000000e+00,0.000000000000e+00
5.001039886475e+01,5.785221862793e+01,4.767036056519e+01,4.908851623535e+02,6.024434814453e+02,4.100814514160e+02,9.040341186523e+01,1.450689819336e+03,-1.116025305237e-04,1.611885090824e-05,3.640632629395e+00,1.836005401611e+01,2.725584208965e-01,2.408003091812e+00,6.110778198242e+02,3.330550193787e-01,2.221293002367e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
7.441527557373e+01,7.955687713623e+01,7.084008789062e+01,7.519863891602e+02,7.759193115234e+02,8.148291015625e+02,1.308274230957e+02,2.111977050781e+03,-1.043732510880e-03,1.283769051952e-05,6.779662609100e+00,3.397180175781e+01,8.371064662933e-01,2.522928237915e+00,6.146751708984e+02,0.000000000000e+00,0.000000000000e+00
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
