2.511490783691e+02,2.532216796875e+02,2.503348541260e+02,3.014907836914e+01,2.392821121216e+01,7.018922424316e+01,4.358003845215e+02,9.752803802490e+01,4.415484363562e-05,3.125721548258e-07,9.100455641747e-01,6.813883304596e+00,-1.282152682543e-01,2.480994462967e-01,6.410717010498e+01,1.974510960281e-03,2.688621636480e-03
2.497925872803e+02,2.522501373291e+02,2.489852752686e+02,1.371708526611e+02,9.822492980957e+01,2.063977661133e+02,4.337142944336e+02,3.943337707520e+02,-4.649835318560e-06,4.955921326655e-07,9.777522087097e-01,6.875948905945e+00,-9.673710912466e-02,4.898096323013e-01,1.249183502197e+02,7.892204448581e-03,8.984828367829e-03
2.473684234619e+02,2.501436157227e+02,2.475251159668e+02,3.547100219727e+02,2.543842315674e+02,3.613285217285e+02,4.302409973145e+02,9.092439575195e+02,6.406914326362e-05,1.729924861138e-06,1.644715666771e+00,1.688904953003e+01,-1.785116493702e-01,6.934792399406e-01,1.759648895264e+02,0.000000000000e+00,0.000000000000e+00
2.510652160645e+02,2.533299560547e+02,2.512187652588e+02,5.899774932861e+01,3.394189453125e+01,4.698833084106e+01,4.362908630371e+02,1.276176223755e+02,3.114901119261e-05,3.594266217988e-08,1.028648376465e+00,1.180293369293e+01,-1.602970510721e-01,2.317715883255e-01,5.983437728882e+01,0.000000000000e+00,0.000000000000e+00
2.505538482666e+02,2.529241027832e+02,2.507847290039e+02,1.166548919678e+02,7.673954772949e+01,9.336957550049e+01,4.355419311523e+02,2.681157836914e+02,4.430237459019e-05,8.185599398303e-08,1.476077437401e+00,1.964281654358e+01,-2.169018536806e-01,2.560975849628e-01,6.309231185913e+01,5.815643817186e-04,5.812378949486e-04
2.496772460938e+02,2.524412841797e+02,2.505928192139e+02,1.620933837891e+02,8.460800170898e+01,6.970825958252e+01,4.346712646484e+02,2.784493103027e+02,6.045241025276e-05,4.390701633383e-07,1.871442437172e+00,2.259779167175e+01,-2.633423507214e-01,4.250150620937e-01,1.116539382935e+02,1.150785107166e-02,1.331133116037e-02
8.698054504395e+01,9.654380798340e+01,8.238628387451e+01,6.177239990234e+02,7.153323364258e+02,5.249415283203e+02,1.542814941406e+02,1.731100585938e+03,-8.640852174722e-04,3.058516085730e-05,5.012901306152e+00,2.055823516846e+01,5.334806442261e-01,2.693757534027e+00,6.774527587891e+02,3.868655860424e-02,3.733614459634e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
