3.535461807251e+01,4.079695510864e+01,4.176957321167e+01,3.371886291504e+02,5.030216369629e+02,1.014849670410e+03,6.878543853760e+01,1.782051269531e+03,-5.199217121117e-04,7.341060154431e-06,3.560929775238e+00,2.056260871887e+01,3.813670277596e-01,2.173967838287e+00,5.493251953125e+02,0.000000000000e+00,0.000000000000e+00
1.471376800537e+02,1.744659271240e+02,2.317155761719e+02,5.190642089844e+02,4.278185119629e+02,5.485701904297e+02,3.254961853027e+02,1.326380981445e+03,2.721943601500e-04,1.474570694882e-06,3.109622716904e+00,2.629453849792e+01,-3.249362111092e-01,2.435924768448e+00,6.161912231445e+02,1.181266084313e-02,1.167309284210e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.705205383301e+02,1.942050323486e+02,2.449450378418e+02,3.003263854980e+02,2.508009643555e+02,2.201952819824e+02,3.563398132324e+02,5.793236083984e+02,-3.486718924250e-05,9.641191354604e-06,2.057232618332e+00,5.200536251068e+00,-3.173723444343e-02,2.464044809341e+00,6.136667480469e+02,8.432229980826e-03,8.361122570932e-03
1.795610198975e+02,1.954506072998e+02,2.373590393066e+02,5.406213989258e+02,5.646171264648e+02,7.395364379883e+02,3.563617248535e+02,1.631083740234e+03,-5.940290284343e-04,2.529913399485e-05,4.167227268219e+00,1.056829833984e+01,4.446025565267e-02,2.354990005493e+00,5.766810913086e+02,7.309800945222e-03,7.256345823407e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
9.339428710938e+01,9.787999725342e+01,1.275142822266e+02,1.096901733398e+03,1.719647705078e+03,3.336352050781e+03,1.869712371826e+02,5.757504394531e+03,-7.434971164912e-03,2.437695366098e-05,6.086240768433e+00,1.131376361847e+01,3.010670423508e+00,4.183157920837e+00,1.098523437500e+03,0.000000000000e+00,0.000000000000e+00
1.791538391113e+02,2.007948760986e+02,2.487179412842e+02,1.468993835449e+02,8.149639129639e+01,4.868967437744e+01,3.665522155762e+02,1.918371582031e+02,-4.537974891718e-04,5.653148491547e-07,1.175228786469e+01,6.808115482330e+00,5.625865235925e-02,4.024492740631e+00,8.334417114258e+02,0.000000000000e+00,0.000000000000e+00
1.651430053711e+02,1.846104583740e+02,2.323145599365e+02,4.528016052246e+02,3.315608215332e+02,5.069736633301e+02,3.399446716309e+02,1.047520141602e+03,2.830650482792e-04,3.536186704878e-05,3.282933473587e+00,1.317263221741e+01,-1.225926950574e-01,2.339207410812e+00,5.852873535156e+02,1.473408006132e-02,1.714096777141e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
