1.675297698975e+02,1.814197692871e+02,2.175576324463e+02,1.366830322266e+03,1.008548278809e+03,6.240902709961e+02,3.298208312988e+02,2.523209472656e+03,5.814732285216e-04,1.031813189911e-05,3.647346496582e+00,7.946443080902e+00,-8.619332313538e-02,2.301241874695e+00,5.801960449219e+02,1.511934120208e-02,2.270535007119e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.627892761230e+02,1.797237396240e+02,2.226064147949e+02,6.956503906250e+02,7.326772460938e+02,1.062247680664e+03,3.295020141602e+02,2.270705566406e+03,-6.305607967079e-04,6.599436346733e-06,4.792046546936e+00,1.782459449768e+01,1.347160041332e-01,1.851775884628e+00,4.525350952148e+02,6.473774556071e-03,8.545808494091e-03
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1.866404876709e+02,2.079437561035e+02,2.386654663086e+02,7.905720214844e+02,6.636689453125e+02,6.278370361328e+02,3.679722290039e+02,1.716001586914e+03,3.285619895905e-04,2.412398134766e-05,5.610642433167e+00,2.300496482849e+01,-3.803418874741e-01,2.226068735123e+00,5.656179809570e+02,1.946006715298e-01,1.567313671112e-01
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.144558868408e+02,2.306738739014e+02,2.425259857178e+02,8.338851318359e+02,7.046955566406e+02,4.784067993164e+02,3.979208068848e+02,1.697783935547e+03,1.790597307263e-04,2.472914638929e-05,4.222238063812e+00,2.061827468872e+01,-2.959801554680e-01,2.192618370056e+00,5.624562988281e+02,2.148548662663e-01,2.914388179779e-01
2.275939788818e+02,2.359446258545e+02,2.399927978516e+02,1.008649902344e+03,8.413405151367e+02,6.731154785156e+02,4.066213684082e+02,2.250852050781e+03,6.505512865260e-04,4.701691068476e-05,4.832087516785e+00,2.749233055115e+01,-4.877790510654e-01,2.495722532272e+00,6.332202758789e+02,1.897398382425e-01,3.198655843735e-01
2.085077056885e+02,2.171365814209e+02,2.228769836426e+02,2.207156005859e+03,1.933899291992e+03,1.689191528320e+03,3.752807312012e+02,5.290177734375e+03,9.650873835199e-04,5.139632048667e-05,8.659530639648e+00,5.305919265747e+01,-9.680462479591e-01,2.889215469360e+00,7.109497680664e+02,6.254311650991e-02,8.438444137573e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
2.044969329834e+02,2.188555755615e+02,2.438732147217e+02,6.892875366211e+02,4.369543762207e+02,2.291995086670e+02,3.867044982910e+02,1.005355773926e+03,1.001042430289e-03,8.184677426470e-06,4.992909908295e+00,2.367259979248e+01,-5.231353044510e-01,2.392756462097e+00,6.097706298828e+02,2.543159388006e-02,2.478485554457e-02
-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan
